time_s,hz
0.4137,219.504
0.4237,219.101
0.4337,219.472
0.4437,221.739
0.4537,222.249
0.4637,222.148
0.4737,222.301
0.4837,222.273
0.4937,222.240
0.5037,222.199
0.5137,222.857
0.5237,224.777
0.5337,225.376
0.5437,225.269
0.5537,224.030
0.5637,222.364
0.5737,221.909
0.5837,220.223
0.5937,219.194
0.6037,219.146
0.6137,219.354
0.6237,220.970
0.6337,222.230
0.6437,223.515
0.6537,225.005
0.6637,223.692
0.6737,222.244
0.6837,221.778
0.6937,219.940
0.7037,219.193
0.7137,219.166
0.7237,219.163
0.7337,219.150
0.7437,219.153
0.7537,219.162
0.7637,219.162
0.7737,219.455
0.7837,221.026
0.7937,222.155
0.8037,222.188
0.8137,222.184
0.8237,222.170
0.8337,222.130
0.8437,221.556
0.9037,177.737
0.9137,177.867
0.9237,178.085
0.9337,177.853
0.9437,177.765
0.9537,177.699
0.9637,177.742
1.1537,250.967
1.1637,250.249
1.1737,250.183
1.1837,249.878
1.1937,249.786
1.2037,249.905
1.2137,249.957
1.2237,249.900
1.2337,249.961
1.2437,250.002
1.2537,249.970
1.2637,249.993
1.2737,249.998
1.2837,249.991
1.2937,250.012
1.3037,249.997
1.3137,250.032
1.3237,250.031
1.3337,250.018
1.3437,250.025
1.3537,250.036
1.3637,250.026
1.3737,250.037
1.3837,250.078
1.3937,250.062
1.4037,250.077
1.4137,250.061
1.4237,250.060
1.4337,250.067
1.4437,250.014
1.4537,250.037
1.4637,249.966
1.4737,250.022
1.4837,249.925
1.4937,249.967
1.5037,249.924
1.5137,250.002
1.5237,249.978
1.5337,250.038
1.5437,250.067
1.5537,249.992
1.5637,250.002
1.5737,249.957
1.5837,249.945
1.5937,249.951
1.6037,249.937
1.6137,249.952
1.6237,249.914
1.6337,250.021
1.6437,249.953
1.6537,250.072
1.6637,249.901
1.6737,250.443
1.6837,250.321
1.6937,250.369
1.7037,249.852
1.7137,249.505
2.3837,221.164
2.3937,222.003
2.4037,222.159
2.4137,222.292
2.4237,222.358
2.4337,222.124
2.4437,222.281
2.4537,222.271
2.4637,222.268
2.4737,222.188
2.4837,222.460
2.4937,224.187
2.5037,225.331
2.5137,225.347
2.5237,224.640
2.5337,222.729
