time_s,hz
0.4137,219.504
0.4237,219.101
0.4337,219.472
0.4437,221.739
0.4537,220
0.4637,220
0.4737,220
0.4837,220
0.4937,220
0.5037,220
0.5137,220
0.5237,220
0.5337,220
0.5437,220
0.5537,220
0.5637,220
0.5737,221.909
0.5837,220.223
0.5937,219.194
0.6037,219.146
0.6137,219.354
0.6237,220.97
0.6337,220
0.6437,220
0.6537,220
0.6637,220
0.6737,220
0.6837,221.778
0.6937,219.94
0.7037,219.193
0.7137,219.166
0.7237,219.163
0.7337,219.15
0.7437,219.153
0.7537,219.162
0.7637,219.162
0.7737,219.455
0.7837,221.026
0.7937,220
0.8037,220
0.8137,220
0.8237,220
0.8337,220
0.8437,221.556
0.9037,174.61412
0.9137,174.61412
0.9237,174.61412
0.9337,174.61412
0.9437,174.61412
0.9537,174.61412
0.9637,174.61412
1.1537,246.94165
1.1637,246.94165
1.1737,246.94165
1.1837,246.94165
1.1937,246.94165
1.2037,246.94165
1.2137,246.94165
1.2237,246.94165
1.2337,246.94165
1.2437,246.94165
1.2537,246.94165
1.2637,246.94165
1.2737,246.94165
1.2837,246.94165
1.2937,246.94165
1.3037,246.94165
1.3137,246.94165
1.3237,246.94165
1.3337,246.94165
1.3437,246.94165
1.3537,246.94165
1.3637,246.94165
1.3737,246.94165
1.3837,246.94165
1.3937,246.94165
1.4037,246.94165
1.4137,246.94165
1.4237,246.94165
1.4337,246.94165
1.4437,246.94165
1.4537,246.94165
1.4637,246.94165
1.4737,246.94165
1.4837,246.94165
1.4937,246.94165
1.5037,246.94165
1.5137,246.94165
1.5237,246.94165
1.5337,246.94165
1.5437,246.94165
1.5537,246.94165
1.5637,246.94165
1.5737,246.94165
1.5837,246.94165
1.5937,246.94165
1.6037,246.94165
1.6137,246.94165
1.6237,246.94165
1.6337,246.94165
1.6437,246.94165
1.6537,246.94165
1.6637,246.94165
1.6737,246.94165
1.6837,246.94165
1.6937,246.94165
1.7037,246.94165
1.7137,246.94165
2.3837,221.164
2.3937,220
2.4037,220
2.4137,220
2.4237,220
2.4337,220
2.4437,220
2.4537,220
2.4637,220
2.4737,220
2.4837,220
2.4937,220
2.5037,220
2.5137,220
2.5237,220
2.5337,220
2.5437,220
