time_s,hz
0.5724,124.848
0.5824,124.957
0.5924,124.582
0.6324,252.605
0.6424,250.724
0.6524,249.889
0.6624,248.752
0.6724,247.023
0.6824,246.185
0.6924,246.433
0.7024,246.430
0.7124,247.782
0.7224,249.675
0.7324,249.972
0.7424,250.455
0.7524,251.716
0.7624,250.458
0.7724,249.945
0.7824,248.633
0.7924,246.520
0.8024,246.143
0.8124,246.185
0.8224,247.101
0.8324,249.371
0.8424,249.998
0.8524,250.549
0.8624,252.269
0.8724,251.024
0.8824,250.160
0.8924,250.092
0.9024,247.756
0.9124,246.300
0.9224,246.438
0.9324,246.616
0.9424,248.088
0.9524,250.150
0.9624,251.085
0.9724,251.977
0.9824,250.927
0.9924,250.611
1.0024,249.674
1.0124,247.267
1.0224,245.807
1.0324,245.965
1.0424,246.146
1.0524,245.903
1.0624,245.533
1.0724,246.073
1.0824,246.245
1.0924,246.641
1.1024,246.301
1.1124,246.129
1.1224,245.872
1.1324,245.997
1.1424,246.710
1.1524,248.758
1.1624,249.737
1.1724,250.002
1.1824,250.008
1.1924,250.142
1.2024,250.109
1.2124,249.991
1.2224,249.873
1.2324,249.975
1.2424,250.009
1.2524,250.006
1.2624,249.758
1.2724,248.824
1.4824,302.655
1.4924,303.490
1.5024,306.197
1.5124,310.571
1.6124,334.126
1.6224,335.343
1.6324,333.805
1.6424,333.613
1.6524,333.482
1.6624,332.663
1.6724,332.837
1.6824,333.682
1.6924,333.392
1.7024,333.966
1.7124,334.654
1.7224,334.039
1.7324,335.042
1.7424,334.044
1.7524,335.336
1.7624,334.197
1.7724,334.107
1.7824,333.234
1.7924,332.686
1.8024,332.773
1.8124,332.780
1.8224,333.005
1.8324,333.109
1.8424,331.600
1.8524,332.226
1.8624,333.173
1.8724,333.222
1.8824,333.245
1.8924,333.362
1.9024,333.249
1.9124,332.644
1.9224,333.039
1.9324,332.958
1.9424,331.943
1.9524,333.031
1.9624,332.856
1.9724,332.083
1.9824,333.123
1.9924,333.240
2.0024,333.212
2.0124,338.438
2.0224,339.679
2.0324,335.499
2.0424,332.176
2.0524,332.196
2.0624,328.540
2.0724,330.522
2.0824,333.389
2.0924,334.517
2.1024,337.504
2.4724,292.736
2.4824,290.770
2.4924,286.966
2.5024,285.229
2.5124,283.194
2.5224,280.663
2.5324,277.778
2.5424,275.292
2.5524,272.129
2.5624,270.198
2.5724,267.220
2.5824,265.492
2.5924,262.694
2.6024,259.793
2.6124,257.248
2.6224,254.050
2.6324,252.118
2.6424,249.749
2.6524,247.081
2.6624,244.326
2.6724,241.623
2.6824,238.656
2.6924,236.268
2.7024,234.417
2.7124,231.750
2.7224,228.708
2.7324,226.055
2.7424,223.490
2.7524,222.109
2.7624,222.211
2.7724,222.223
2.7824,222.485
2.7924,222.520
2.8024,222.215
2.8124,222.258
2.8224,222.842
2.8324,222.359
2.8424,222.392
2.8524,223.050
2.8624,222.376
2.8724,222.332
2.8824,222.876
2.8924,222.387
2.9024,222.564
2.9124,222.988
2.9224,223.913
2.9324,225.458
2.9424,226.059
2.9524,225.266
2.9624,223.540
2.9724,222.449
2.9824,221.008
2.9924,219.545
3.0024,219.484
3.0124,219.918
3.0224,221.783
3.0324,222.621
3.0424,224.330
3.0524,223.788
3.0624,222.188
3.0724,221.074
3.0824,219.375
3.0924,219.311
3.1024,219.867
3.1124,221.787
3.1224,222.518
3.1324,224.309
3.1424,223.890
3.1524,222.329
3.1624,221.165
3.1724,219.433
3.1824,219.095
3.1924,219.155
3.2024,219.141
3.2124,219.088
3.2224,219.182
3.2324,219.200
3.2424,219.251
3.2524,219.394
3.2624,221.001
3.2724,222.231
3.2824,222.255
3.2924,222.229
3.3024,222.175
3.3124,222.220
3.3224,222.385
3.3324,222.935
3.3424,223.872
3.9024,222.268
3.9124,222.326
3.9224,222.715
3.9724,223.539
3.9824,221.849
3.9924,221.298
4.0024,220.458
4.0124,219.504
4.0224,220.090
4.0324,219.566
4.0424,220.444
4.0524,222.024
4.0624,222.299
4.0724,223.524
4.0824,224.416
4.0924,222.408
4.1024,222.174
4.1124,221.113
4.1224,219.308
4.1324,219.162
4.1424,219.192
4.1524,219.929
4.1624,221.742
4.1724,222.317
4.1824,223.454
4.1924,224.539
4.2024,223.274
4.2124,222.312
4.2224,222.583
4.2324,220.825
4.2424,219.295
4.2524,219.491
4.2624,219.557
4.2724,220.615
4.2824,222.549
4.2924,223.844
4.3024,224.958
4.3124,224.079
4.3224,222.989
4.3324,222.287
4.3424,220.215
4.3524,218.928
4.3624,219.006
4.3724,219.180
4.3824,218.781
4.3924,218.746
4.4024,219.186
4.4124,219.203
4.4224,219.590
4.4324,219.411
4.4424,219.170
4.4524,218.920
4.4624,219.038
4.4724,220.538
4.4824,221.893
4.4924,221.985
4.5024,222.223
4.5124,222.244
4.5224,222.381
4.5324,222.298
4.5424,222.219
4.5524,222.109
4.5624,222.165
4.5724,222.227
4.5824,222.277
4.5924,222.447
4.6024,223.194
4.7224,238.847
4.7324,242.232
4.7424,245.822
4.7524,248.822
4.7624,253.419
4.7724,256.044
4.7824,259.806
4.7924,262.521
4.8024,265.022
4.8124,267.460
4.8224,270.596
4.8324,274.501
4.8424,278.655
4.8524,281.713
4.8624,284.460
4.8724,288.541
4.8824,291.095
4.8924,294.458
4.9024,297.113
4.9124,300.715
4.9224,304.560
4.9324,307.539
4.9424,310.832
4.9524,314.050
4.9624,317.047
4.9724,319.976
4.9824,324.016
4.9924,326.166
5.0024,330.376
5.0124,333.014
5.0224,332.977
5.0324,332.766
5.0424,333.186
5.0524,333.019
5.0624,333.272
5.0724,333.340
5.0824,333.389
5.0924,333.389
5.1024,333.338
5.1124,333.450
5.1224,333.591
5.1324,333.402
5.1424,333.237
5.1524,332.734
5.1624,333.714
5.1724,338.107
5.1824,339.890
5.1924,338.387
5.2024,334.155
5.2124,333.383
5.2224,333.448
5.2324,329.440
5.2424,326.925
5.2524,330.129
5.2624,333.034
5.2724,333.256
5.2824,333.808
5.2924,336.912
5.3024,335.600
5.3124,333.353
5.3224,332.687
5.3324,331.145
5.3424,327.510
5.3524,326.437
5.3624,326.298
5.3724,328.154
5.3824,332.357
5.3924,333.249
5.4024,333.413
5.4124,333.342
5.4224,332.942
5.4324,332.176
5.4424,333.118
5.4524,333.312
5.4624,333.049
5.4724,331.325
5.6224,314.189
5.6324,313.882
5.6424,313.361
5.6524,310.726
5.6624,308.187
5.6724,307.444
5.6824,304.790
5.6924,302.344
5.7024,301.555
5.7124,298.908
5.7224,296.549
5.7324,296.253
5.7424,296.157
5.7524,296.244
5.7624,296.278
5.7724,296.286
5.7824,296.330
5.7924,296.294
5.8024,296.349
5.8124,296.294
5.8224,296.409
5.8324,296.339
5.8424,296.475
5.8524,296.930
5.8624,296.851
5.8724,298.182
5.8824,296.312
5.8924,296.257
5.9024,296.403
5.9124,296.422
5.9224,296.425
5.9324,296.431
5.9424,296.262
5.9524,296.278
5.9624,296.325
5.9724,296.497
5.9824,296.598
5.9924,296.354
6.0024,296.119
6.0124,296.292
6.0224,296.422
6.0324,296.189
6.0424,296.318
6.0524,296.406
6.2724,295.915
6.2824,299.194
6.2924,301.847
6.3024,302.176
6.3124,301.750
6.3224,299.688
6.3324,296.868
6.3424,296.413
6.3524,294.784
6.3624,291.582
6.3724,291.324
6.3824,292.680
6.3924,295.688
6.4024,296.436
6.4124,296.527
6.4224,296.438
6.4324,296.205
6.4424,295.886
6.4524,294.427
6.7324,260.621
6.7424,259.102
6.7524,258.046
6.7624,255.907
6.7724,254.152
6.7824,253.773
6.7924,251.936
6.8024,250.061
6.8124,249.842
6.8224,249.507
6.8324,249.967
6.8424,249.696
6.8524,249.828
6.8624,250.174
6.8724,250.344
6.8824,250.403
6.8924,250.002
6.9024,249.682
6.9124,250.162
6.9224,249.995
6.9324,250.048
6.9424,249.884
6.9524,249.800
6.9624,249.638
6.9724,249.730
6.9824,249.926
6.9924,249.814
7.0024,249.904
7.0124,250.388
7.0224,250.502
7.0324,250.653
7.0424,250.467
7.0524,250.503
7.0624,250.432
7.0724,250.168
7.0824,249.689
7.0924,249.649
7.1024,250.051
7.1124,249.910
7.1224,249.288
7.1324,249.720
7.1424,249.908
7.1524,250.010
7.1624,250.079
7.1724,249.931
7.1824,249.916
7.1924,249.691
7.2024,249.775
7.2124,249.859
