time_s,hz
0.5724,123.470825
0.5824,123.470825
0.5924,123.470825
0.6324,246.94165
0.6424,246.94165
0.6524,246.94165
0.6624,248.752
0.6724,247.023
0.6824,246.185
0.6924,246.433
0.7024,246.43
0.7124,247.782
0.7224,246.94165
0.7324,246.94165
0.7424,246.94165
0.7524,246.94165
0.7624,246.94165
0.7724,246.94165
0.7824,248.633
0.7924,246.52
0.8024,246.143
0.8124,246.185
0.8224,247.101
0.8324,246.94165
0.8424,246.94165
0.8524,246.94165
0.8624,246.94165
0.8724,246.94165
0.8824,246.94165
0.8924,246.94165
0.9024,247.756
0.9124,246.3
0.9224,246.438
0.9324,246.616
0.9424,248.088
0.9524,246.94165
0.9624,246.94165
0.9724,246.94165
0.9824,246.94165
0.9924,246.94165
1.0024,246.94165
1.0124,247.267
1.0224,245.807
1.0324,245.965
1.0424,246.146
1.0524,245.903
1.0624,245.533
1.0724,246.073
1.0824,246.245
1.0924,246.641
1.1024,246.301
1.1124,246.129
1.1224,245.872
1.1324,245.997
1.1424,246.71
1.1524,248.758
1.1624,246.94165
1.1724,246.94165
1.1824,246.94165
1.1924,246.94165
1.2024,246.94165
1.2124,246.94165
1.2224,246.94165
1.2324,246.94165
1.2424,246.94165
1.2524,246.94165
1.2624,246.94165
1.2724,248.824
1.4824,293.66476
1.4924,293.66476
1.5024,293.66476
1.5124,293.66476
1.6124,329.62756
1.6224,329.62756
1.6324,329.62756
1.6424,329.62756
1.6524,329.62756
1.6624,329.62756
1.6724,329.62756
1.6824,329.62756
1.6924,329.62756
1.7024,329.62756
1.7124,329.62756
1.7224,329.62756
1.7324,329.62756
1.7424,329.62756
1.7524,329.62756
1.7624,329.62756
1.7724,329.62756
1.7824,329.62756
1.7924,329.62756
1.8024,329.62756
1.8124,329.62756
1.8224,329.62756
1.8324,329.62756
1.8424,331.6
1.8524,332.226
1.8624,329.62756
1.8724,329.62756
1.8824,329.62756
1.8924,329.62756
1.9024,329.62756
1.9124,329.62756
1.9224,329.62756
1.9324,329.62756
1.9424,331.943
1.9524,329.62756
1.9624,329.62756
1.9724,332.083
1.9824,329.62756
1.9924,329.62756
2.0024,329.62756
2.0124,329.62756
2.0224,349.22824
2.0324,329.62756
2.0424,332.176
2.0524,332.196
2.0624,328.54
2.0724,330.522
2.0824,329.62756
2.0924,329.62756
2.1024,329.62756
2.4724,292.736
2.4824,293.66476
2.4924,293.66476
2.5024,293.66476
2.5124,293.66476
2.5224,293.66476
2.5324,293.66476
2.5424,261.62555
2.5524,261.62555
2.5624,261.62555
2.5724,261.62555
2.5824,261.62555
2.5924,262.694
2.6024,259.793
2.6124,261.62555
2.6224,246.94165
2.6324,246.94165
2.6424,246.94165
2.6524,247.081
2.6624,246.94165
2.6724,246.94165
2.6824,246.94165
2.6924,246.94165
2.7024,246.94165
2.7124,220
2.7224,220
2.7324,220
2.7424,220
2.7524,220
2.7624,220
2.7724,220
2.7824,220
2.7924,220
2.8024,220
2.8124,220
2.8224,220
2.8324,220
2.8424,220
2.8524,220
2.8624,220
2.8724,220
2.8824,220
2.8924,220
2.9024,220
2.9124,220
2.9224,220
2.9324,220
2.9424,220
2.9524,220
2.9624,220
2.9724,220
2.9824,221.008
2.9924,219.545
3.0024,219.484
3.0124,219.918
3.0224,221.783
3.0324,220
3.0424,220
3.0524,220
3.0624,220
3.0724,221.074
3.0824,219.375
3.0924,219.311
3.1024,219.867
3.1124,221.787
3.1224,220
3.1324,220
3.1424,220
3.1524,220
3.1624,221.165
3.1724,219.433
3.1824,219.095
3.1924,219.155
3.2024,219.141
3.2124,219.088
3.2224,219.182
3.2324,219.2
3.2424,219.251
3.2524,219.394
3.2624,221.001
3.2724,220
3.2824,220
3.2924,220
3.3024,220
3.3124,220
3.3224,220
3.3324,220
3.3424,220
3.9024,220
3.9124,220
3.9224,220
3.9724,220
3.9824,221.849
3.9924,221.298
4.0024,220.458
4.0124,219.504
4.0224,220.09
4.0324,219.566
4.0424,220.444
4.0524,220
4.0624,220
4.0724,220
4.0824,220
4.0924,220
4.1024,220
4.1124,221.113
4.1224,219.308
4.1324,219.162
4.1424,219.192
4.1524,219.929
4.1624,221.742
4.1724,220
4.1824,220
4.1924,220
4.2024,220
4.2124,220
4.2224,220
4.2324,220.825
4.2424,219.295
4.2524,219.491
4.2624,219.557
4.2724,220.615
4.2824,220
