time_s,hz
0.4533,165.796
0.4633,165.033
0.4733,165.09
0.4833,164.848
0.4933,165.009
0.5033,164.927
0.5133,164.944
0.5233,164.946
0.5333,165.012
0.5433,165.13
0.5533,165.084
0.5633,165.03
0.5733,164.968
0.5833,164.987
0.5933,164.988
0.6033,164.998
0.6133,164.963
0.6233,164.948
0.6333,164.955
0.6433,164.954
0.6533,164.953
0.6633,164.964
0.6733,164.964
0.6833,164.96
0.6933,164.975
0.7033,164.979
0.7133,164.97
0.7233,164.978
0.7333,164.969
0.7433,164.975
0.7533,164.983
0.7633,164.963
0.7733,164.944
0.7833,164.919
0.7933,164.919
0.8033,164.882
0.8133,164.917
0.8233,164.942
0.8333,164.906
0.8433,164.934
0.8533,164.923
0.8633,164.936
0.8733,164.955
0.8833,164.958
0.8933,164.934
0.9033,164.966
0.9133,164.958
0.9233,164.987
0.9333,164.901
0.9433,164.913
0.9533,165.047
0.9633,165.144
0.9733,165.091
0.9833,165.079
0.9933,165.242
1.0033,165.091
1.0133,165.139
1.0233,165.434
1.0333,165.523
1.0433,165.143
1.0533,164.932
1.0633,164.713
1.0733,164.691
1.0833,164.943
1.0933,165.153
1.1033,165.065
1.1133,165.882
1.1233,164.81378
1.1333,164.81378
1.1433,164.81378
1.1533,175.076
1.4433,165.415
1.4533,164.988
1.4633,164.927
1.4733,164.953
1.4833,165.355
1.4933,164.81378
1.5033,164.81378
1.5133,164.81378
1.5233,174.61412
1.5333,174.61412
1.5433,173.357
1.5533,174.938
1.5633,176.037
1.5733,174.61412
1.5833,174.61412
1.5933,174.61412
1.6033,174.61412
1.6133,174.61412
1.6233,174.61412
1.6333,195.99773
1.6433,195.99773
1.6533,195.99773
1.6633,195.99773
1.6733,195.99773
1.6833,195.99773
1.6933,194.657
1.7033,195.504
1.7133,197.068
1.7233,195.99773
1.7333,195.99773
1.7433,195.99773
1.7533,195.99773
1.7633,195.99773
1.7733,195.99773
1.7833,195.99773
1.7933,220
1.8033,220
1.8133,220
1.8233,220
1.8333,220
1.8433,220
1.8533,220
1.8633,218.621
1.8733,219.373
1.8833,221.036
1.8933,220
1.9033,220
1.9133,220
1.9233,220
1.9333,220
1.9433,220
1.9533,220
1.9633,220
1.9733,220
1.9833,220
1.9933,220
2.0033,220
2.0133,220
2.0233,220
2.0333,220
2.0433,220
2.0533,220
2.0633,220
2.0733,220
2.0833,220
2.0933,220
2.1033,221.352
2.1133,219.544
2.1233,219.238
2.1333,219.849
2.1433,221.689
2.1533,220
2.1633,220
2.1733,220
2.1833,220
2.1933,220.469
2.2033,219.207
2.2133,219.238
2.2233,220.54
2.2333,220
2.2433,220
2.2533,220
2.2633,220
2.2733,221.576
2.2833,219.748
2.2933,219.16
2.3033,219.194
2.3133,219.175
2.3233,219.157
2.3333,219.205
2.3433,219.138
2.3533,219.262
2.3633,220.366
2.3733,220
2.3833,220
2.3933,220
2.4033,220
2.4133,220
2.4233,221.681
2.4333,219.259
2.5233,218.991
2.5333,220
2.5433,220
2.5533,220
2.5633,220
2.5733,220
2.5833,220
2.5933,220
2.6033,220
2.6133,195.99773
2.6233,195.99773
2.6333,195.99773
2.6433,195.99773
2.6533,195.99773
2.6633,195.99773
2.6733,195.99773
2.6833,197.317
2.6933,195.713
2.7033,195.99773
2.7133,195.99773
2.7233,195.99773
2.7333,195.99773
2.7433,195.99773
2.7533,195.99773
2.7633,195.99773
2.7733,174.61412
2.7833,174.61412
2.7933,174.61412
2.8033,174.61412
2.8133,174.61412
2.8233,174.61412
2.8333,174.61412
2.8433,175.844
2.8533,175.825
2.8633,175.821
2.8733,175.823
2.8833,175.819
2.8933,175.825
2.9033,175.822
2.9133,175.822
2.9233,175.83
2.9333,175.827
2.9433,175.818
2.9533,175.835
2.9633,174.61412
2.9733,174.61412
2.9833,174.61412
2.9933,174.61412
3.0033,174.61412
3.0133,174.61412
3.0233,174.61412
3.0333,175.867
3.0433,175.219
3.0533,174.098
3.0633,173.904
3.0733,174.149
3.0833,175.296
3.0933,174.61412
3.1033,174.61412
3.1133,174.61412
3.1233,174.61412
3.1333,175.935
3.1433,174.815
3.1533,173.951
3.1633,173.916
3.1733,173.92
3.1833,173.913
3.1933,173.898
3.2033,173.918
3.2133,173.917
3.2233,174.214
3.2333,175.437
3.2433,175.843
3.2533,175.857
3.2633,175.886
3.2733,175.917
3.2833,174.61412
3.2933,174.61412
3.7433,87.30706
3.7533,87.30706
3.7633,87.30706
3.7833,295.182
3.7933,293.66476
3.8033,293.66476
3.8133,293.66476
3.8233,296.192
3.8333,293.66476
3.8433,296.146
3.8533,293.66476
3.8633,296.037
3.8733,293.66476
3.8833,293.66476
3.8933,293.66476
3.9033,293.66476
3.9133,293.66476
3.9233,293.66476
3.9333,293.66476
3.9433,293.66476
3.9533,293.66476
3.9633,293.66476
3.9733,293.66476
3.9833,293.66476
3.9933,293.66476
4.0033,293.66476
4.0133,293.66476
4.0233,293.66476
4.0333,293.66476
4.0433,293.66476
4.0533,293.66476
4.0633,293.66476
4.0733,293.66476
4.0833,293.66476
4.0933,293.66476
4.1033,293.66476
4.1133,293.66476
4.1233,293.66476
4.1333,293.66476
4.1433,293.66476
4.1533,293.66476
4.1633,293.66476
4.1733,293.66476
4.1833,293.66476
4.1933,296.219
4.2033,293.66476
4.2133,293.66476
4.2233,293.66476
4.2333,293.66476
4.2433,293.66476
4.2533,293.66476
4.2633,293.66476
4.2733,293.66476
4.2833,293.66476
4.2933,293.66476
4.3033,293.66476
4.3133,293.66476
4.3233,295.772
4.3333,292.874
4.3433,291.971
4.3533,295.153
4.3633,293.66476
4.3733,293.66476
4.3833,293.66476
4.3933,293.66476
4.4033,293.66476
4.4133,293.66476
4.4233,296.029
4.4333,293.052
4.4433,291.156
4.4533,293.66476
4.4633,291.674
4.4733,294.908
4.4833,293.66476
4.4933,293.66476
4.5033,293.66476
4.5133,293.66476
5.0133,164.81378
5.0233,164.841
5.0333,165.094
5.0433,164.936
5.0533,164.987
5.0633,164.947
5.0733,164.936
5.0833,164.946
5.0933,164.998
5.1033,165.142
5.1133,165.074
5.1233,165.045
5.1333,164.97
5.1433,164.984
