time_s,hz
0.7222,370.888
0.7322,371.687
0.7422,371.895
0.7522,372.047
0.7622,371.934
0.7722,371.909
0.7822,371.963
0.7922,371.707
0.8022,372.019
0.8122,372.097
0.8222,372.075
0.8322,372.094
0.8422,372.108
0.8522,372.088
0.8622,372.158
0.8722,372.121
0.8822,372.097
0.8922,372.152
0.9022,372.134
0.9122,372.159
0.9222,372.223
0.9322,372.199
0.9422,372.208
0.9522,372.240
0.9622,372.270
0.9722,372.236
0.9822,372.133
0.9922,372.116
1.0022,372.060
1.0122,372.627
1.0222,376.281
1.0322,380.445
1.0422,380.670
1.0522,381.073
1.0622,381.043
1.0722,380.870
1.0822,379.824
1.0922,374.650
1.1022,372.107
1.1122,372.011
1.1222,371.991
1.1322,371.982
1.1422,372.043
1.3722,371.722
1.3822,371.447
1.3922,372.090
1.4022,372.107
1.4122,372.092
1.4222,372.095
1.4322,372.090
1.4422,372.199
1.4522,372.035
1.4622,372.015
1.4722,372.151
1.4822,372.030
1.4922,372.110
1.5022,372.090
1.5122,372.065
1.5222,372.135
1.5322,372.072
1.5422,372.126
1.5522,372.109
1.5622,372.099
1.5722,372.065
1.5822,372.070
1.5922,372.097
1.6022,372.125
1.6122,372.091
1.6222,372.128
1.6322,372.092
1.6422,372.090
1.6522,372.108
1.6622,372.085
1.6722,372.103
1.6822,372.084
1.6922,372.095
1.7022,372.109
1.7122,372.085
1.7222,372.094
1.7322,372.088
1.7422,372.096
1.7522,372.090
1.7622,372.067
1.7722,372.175
1.7822,372.104
1.7922,372.035
1.8022,372.162
1.8122,372.231
1.8222,372.137
1.8322,372.315
1.8422,372.339
1.8522,372.006
1.8622,372.153
1.8722,372.982
1.8822,378.169
1.8922,381.234
1.9022,381.074
1.9122,381.017
1.9222,381.075
1.9322,381.105
1.9422,380.494
1.9522,375.398
1.9622,372.269
1.9722,372.139
1.9822,372.174
1.9922,372.124
2.0022,372.587
2.0122,377.083
2.0222,380.755
2.0322,379.457
2.0422,374.135
2.0522,372.216
2.0622,372.146
2.0722,372.116
2.0822,372.079
2.0922,373.069
2.1022,378.071
2.1122,380.731
2.1222,378.674
2.1322,373.398
2.1422,372.070
2.1522,371.950
2.1622,371.992
2.1722,372.118
2.1822,372.160
2.1922,372.063
2.2022,371.983
2.2122,372.023
2.2222,372.062
2.2322,372.067
2.2422,372.126
2.2522,372.076
2.2622,372.041
2.2722,372.183
2.2822,372.017
2.2922,371.968
2.3022,371.735
2.7422,331.955
2.7522,333.006
2.7622,333.346
2.7722,333.475
2.7822,333.278
2.7922,333.262
2.8022,333.352
2.8122,333.334
2.8222,333.290
2.8322,333.279
2.8422,333.240
2.8522,333.304
2.8622,333.408
2.8722,333.317
2.8822,333.409
2.8922,333.382
2.9022,333.442
2.9122,333.433
2.9222,333.351
2.9322,333.290
2.9422,333.230
2.9522,333.161
2.9622,333.219
2.9722,333.271
2.9822,333.315
2.9922,333.406
3.0022,333.447
3.0122,333.410
3.0222,333.390
3.0322,333.342
3.0422,333.341
3.0522,333.289
3.0622,333.238
3.0722,333.235
3.0822,333.270
3.0922,333.276
3.1022,333.320
3.1122,333.288
3.1222,333.311
3.1322,333.559
3.1422,333.481
3.1522,333.434
3.1622,333.320
3.1722,333.287
3.1822,333.272
3.1922,333.312
3.2022,333.366
3.2122,333.352
3.2222,333.315
3.2322,333.309
3.2422,333.340
3.2522,333.295
3.2622,333.222
3.2722,333.265
3.2822,333.240
3.2922,333.360
3.3022,333.362
3.3122,333.368
3.3222,333.268
3.3322,333.207
3.3422,332.997
3.4622,177.626
3.4722,177.663
3.4822,177.645
3.4922,177.832
3.7322,363.778
3.7422,368.115
3.7522,371.972
3.7622,372.360
3.7722,376.137
3.7822,380.373
3.7922,380.833
3.8022,381.499
3.8122,386.249
3.8222,390.009
3.8322,390.333
3.8422,392.258
3.8522,398.161
3.8622,399.987
3.8722,400.037
3.8822,400.026
3.8922,400.118
3.9022,400.161
3.9122,400.026
3.9222,399.937
3.9322,399.811
3.9422,399.765
3.9522,399.962
3.9622,399.897
3.9722,399.828
3.9822,399.919
3.9922,399.962
4.0022,398.524
4.0122,392.608
4.0222,390.211
4.0322,392.420
4.0422,398.409
4.0522,399.949
4.0622,399.878
4.0722,399.921
4.0822,397.306
4.0922,391.394
