time_s,hz
0.7222,370.888
0.7322,371.687
0.7422,371.895
0.7522,372.047
0.7622,371.934
0.7722,371.909
0.7822,371.963
0.7922,371.707
0.8022,372.019
0.8122,372.097
0.8222,372.075
0.8322,372.094
0.8422,372.108
0.8522,372.088
0.8622,372.158
0.8722,372.121
0.8822,372.097
0.8922,372.152
0.9022,372.134
0.9122,372.159
0.9222,372.223
0.9322,372.199
0.9422,372.208
0.9522,372.24
0.9622,372.27
0.9722,372.236
0.9822,372.133
0.9922,372.116
1.0022,372.06
1.0122,372.627
1.0222,369.99442
1.0322,369.99442
1.0422,369.99442
1.0522,391.99542
1.0622,391.99542
1.0722,391.99542
1.0822,369.99442
1.0922,369.99442
1.1022,372.107
1.1122,372.011
1.1222,371.991
1.1322,371.982
1.1422,372.043
1.3722,371.722
1.3822,371.447
1.3922,372.09
1.4022,372.107
1.4122,372.092
1.4222,372.095
1.4322,372.09
1.4422,372.199
1.4522,372.035
1.4622,372.015
1.4722,372.151
1.4822,372.03
1.4922,372.11
1.5022,372.09
1.5122,372.065
1.5222,372.135
1.5322,372.072
1.5422,372.126
1.5522,372.109
1.5622,372.099
1.5722,372.065
1.5822,372.07
1.5922,372.097
1.6022,372.125
1.6122,372.091
1.6222,372.128
1.6322,372.092
1.6422,372.09
1.6522,372.108
1.6622,372.085
1.6722,372.103
1.6822,372.084
1.6922,372.095
1.7022,372.109
1.7122,372.085
1.7222,372.094
1.7322,372.088
1.7422,372.096
1.7522,372.09
1.7622,372.067
1.7722,372.175
1.7822,372.104
1.7922,372.035
1.8022,372.162
1.8122,372.231
1.8222,372.137
1.8322,372.315
1.8422,372.339
1.8522,372.006
1.8622,372.153
1.8722,372.982
1.8822,369.99442
1.8922,391.99542
1.9022,391.99542
1.9122,391.99542
1.9222,391.99542
1.9322,391.99542
1.9422,369.99442
1.9522,369.99442
1.9622,372.269
1.9722,372.139
1.9822,372.174
1.9922,372.124
2.0022,372.587
2.0122,369.99442
2.0222,369.99442
2.0322,369.99442
2.0422,369.99442
2.0522,372.216
2.0622,372.146
2.0722,372.116
2.0822,372.079
2.0922,373.069
2.1022,369.99442
2.1122,369.99442
2.1222,369.99442
2.1322,369.99442
2.1422,372.07
2.1522,371.95
2.1622,371.992
2.1722,372.118
2.1822,372.16
2.1922,372.063
2.2022,371.983
2.2122,372.023
2.2222,372.062
2.2322,372.067
2.2422,372.126
2.2522,372.076
2.2622,372.041
2.2722,372.183
2.2822,372.017
2.2922,371.968
2.3022,371.735
2.7422,331.955
2.7522,329.62756
2.7622,329.62756
2.7722,329.62756
2.7822,329.62756
2.7922,329.62756
2.8022,329.62756
2.8122,329.62756
2.8222,329.62756
2.8322,329.62756
2.8422,329.62756
2.8522,329.62756
2.8622,329.62756
2.8722,329.62756
2.8822,329.62756
2.8922,329.62756
2.9022,329.62756
2.9122,329.62756
2.9222,329.62756
2.9322,329.62756
2.9422,329.62756
2.9522,329.62756
2.9622,329.62756
2.9722,329.62756
2.9822,329.62756
2.9922,329.62756
3.0022,329.62756
3.0122,329.62756
3.0222,329.62756
3.0322,329.62756
3.0422,329.62756
3.0522,329.62756
3.0622,329.62756
3.0722,329.62756
3.0822,329.62756
3.0922,329.62756
3.1022,329.62756
3.1122,329.62756
3.1222,329.62756
3.1322,329.62756
3.1422,329.62756
3.1522,329.62756
3.1622,329.62756
3.1722,329.62756
3.1822,329.62756
3.1922,329.62756
3.2022,329.62756
3.2122,329.62756
3.2222,329.62756
3.2322,329.62756
3.2422,329.62756
3.2522,329.62756
3.2622,329.62756
3.2722,329.62756
3.2822,329.62756
3.2922,329.62756
3.3022,329.62756
3.3122,329.62756
3.3222,329.62756
3.3322,329.62756
3.3422,329.62756
3.4622,184.99721
3.4722,184.99721
3.4822,184.99721
3.4922,184.99721
3.7322,369.99442
3.7422,368.115
3.7522,371.972
3.7622,372.36
3.7722,369.99442
3.7822,369.99442
3.7922,369.99442
3.8022,391.99542
3.8122,391.99542
3.8222,390.009
3.8322,390.333
3.8422,392.258
3.8522,391.99542
3.8622,391.99542
3.8722,391.99542
3.8822,391.99542
3.8922,391.99542
3.9022,391.99542
3.9122,391.99542
3.9222,391.99542
3.9322,391.99542
3.9422,391.99542
3.9522,391.99542
3.9622,391.99542
3.9722,391.99542
