time_s,hz
0.4138,272.910
0.4238,274.836
0.4338,276.222
0.4438,278.811
0.4538,280.864
0.4638,280.790
0.4738,280.804
0.4838,280.799
0.4938,280.920
0.5038,280.901
0.5138,280.944
0.5238,280.708
0.5338,280.608
0.5438,280.703
0.5538,280.730
0.5638,280.673
0.5738,280.601
0.5838,280.606
0.5938,280.576
0.6038,280.588
0.6138,280.433
0.6238,280.559
0.6338,280.574
0.6438,280.708
0.6538,280.669
0.6638,280.740
0.6738,280.781
0.6838,280.709
0.6938,280.688
0.7038,280.751
0.7138,280.711
0.7238,280.753
0.7338,280.699
0.7438,280.707
0.7538,280.673
0.7638,280.746
0.7738,280.600
0.7838,280.900
0.7938,280.759
0.8038,280.852
0.8138,280.766
0.8238,280.914
0.8338,280.706
0.8438,280.755
0.8538,280.648
0.8638,280.584
0.8738,280.663
0.8838,280.721
0.8938,280.729
0.9038,280.721
0.9138,281.469
0.9238,285.141
0.9338,281.168
0.9438,280.549
0.9538,279.733
0.9638,275.973
0.9738,275.812
0.9838,276.221
0.9938,280.077
1.0038,280.612
1.0138,280.871
1.0238,282.234
1.0338,280.872
1.0438,269.726
1.2738,281.028
1.2838,284.855
1.2938,285.856
1.3038,288.550
1.3138,291.003
1.3238,292.430
1.3338,295.782
1.3438,296.373
1.3538,299.149
1.3638,301.640
1.3738,302.472
1.3838,306.525
1.3938,307.578
1.4038,309.109
1.4138,312.933
1.4238,313.615
1.4338,314.891
1.4438,318.741
1.4538,320.006
1.4638,320.679
1.4738,324.451
1.4838,326.476
1.4938,327.098
1.5038,330.880
1.5138,333.274
1.5238,333.364
1.5338,333.323
1.5438,333.335
1.5538,333.331
1.5638,333.360
1.5738,333.370
1.5838,333.406
1.5938,333.438
1.6038,333.508
1.6138,333.424
1.6238,333.436
1.6338,334.772
1.6438,339.030
1.6538,339.410
1.6638,335.270
1.6738,333.434
1.6838,331.887
1.6938,328.445
1.7038,331.574
1.7138,333.229
1.7238,335.340
1.7338,336.968
1.7438,333.940
1.7538,333.258
1.7638,330.941
1.7738,327.054
1.7838,326.639
1.7938,328.387
1.8038,332.579
1.8138,333.406
1.8238,333.320
1.8338,333.294
1.8438,333.131
1.8538,332.676
1.8638,332.580
1.8738,328.684
1.9738,177.876
1.9838,177.725
2.5138,249.678
2.5238,249.722
2.5338,250.092
2.5938,249.050
2.6038,249.691
2.6138,249.978
2.6238,249.841
2.6338,249.976
2.6438,250.176
2.6538,251.526
2.6638,253.123
2.6738,251.215
2.6838,249.503
2.6938,247.245
2.7038,246.264
2.7138,246.413
2.7238,248.020
2.7338,250.123
2.7438,250.983
2.7538,250.708
2.7638,249.999
2.7738,247.944
2.7838,246.275
2.7938,246.156
2.8038,246.227
