time_s,hz
0.4138,277.18265
0.4238,274.836
0.4338,276.222
0.4438,278.811
0.4538,277.18265
0.4638,277.18265
0.4738,277.18265
0.4838,277.18265
0.4938,277.18265
0.5038,277.18265
0.5138,277.18265
0.5238,277.18265
0.5338,277.18265
0.5438,277.18265
0.5538,277.18265
0.5638,277.18265
0.5738,277.18265
0.5838,277.18265
0.5938,277.18265
0.6038,277.18265
0.6138,277.18265
0.6238,277.18265
0.6338,277.18265
0.6438,277.18265
0.6538,277.18265
0.6638,277.18265
0.6738,277.18265
0.6838,277.18265
0.6938,277.18265
0.7038,277.18265
0.7138,277.18265
0.7238,277.18265
0.7338,277.18265
0.7438,277.18265
0.7538,277.18265
0.7638,277.18265
0.7738,277.18265
0.7838,277.18265
0.7938,277.18265
0.8038,277.18265
0.8138,277.18265
0.8238,277.18265
0.8338,277.18265
0.8438,277.18265
0.8538,277.18265
0.8638,277.18265
0.8738,277.18265
0.8838,277.18265
0.8938,277.18265
0.9038,277.18265
0.9138,277.18265
0.9238,277.18265
0.9338,277.18265
0.9438,277.18265
0.9538,277.18265
0.9638,275.973
0.9738,275.812
0.9838,276.221
0.9938,277.18265
1.0038,277.18265
1.0138,277.18265
1.0238,277.18265
1.0338,277.18265
1.0438,277.18265
1.2738,277.18265
1.2838,277.18265
1.2938,293.66476
1.3038,293.66476
1.3138,293.66476
1.3238,292.43
1.3338,295.782
1.3438,293.66476
1.3538,293.66476
1.3638,293.66476
1.3738,293.66476
1.3838,293.66476
1.3938,293.66476
1.4038,293.66476
1.4138,329.62756
1.4238,329.62756
1.4338,329.62756
1.4438,329.62756
1.4538,329.62756
1.4638,329.62756
1.4738,329.62756
1.4838,329.62756
1.4938,327.098
1.5038,330.88
1.5138,329.62756
1.5238,329.62756
1.5338,329.62756
1.5438,329.62756
1.5538,329.62756
1.5638,329.62756
1.5738,329.62756
1.5838,329.62756
1.5938,329.62756
1.6038,329.62756
1.6138,329.62756
1.6238,329.62756
1.6338,329.62756
1.6438,329.62756
1.6538,329.62756
1.6638,329.62756
1.6738,329.62756
1.6838,331.887
1.6938,328.445
1.7038,331.574
1.7138,329.62756
1.7238,329.62756
1.7338,329.62756
1.7438,329.62756
1.7538,329.62756
1.7638,330.941
1.7738,327.054
1.7838,329.62756
1.7938,328.387
1.8038,329.62756
1.8138,329.62756
1.8238,329.62756
1.8338,329.62756
1.8438,329.62756
1.8538,329.62756
1.8638,329.62756
1.8738,328.684
1.9738,184.99721
1.9838,184.99721
2.5138,246.94165
2.5238,246.94165
2.5338,246.94165
2.5938,249.05
2.6038,246.94165
2.6138,246.94165
2.6238,246.94165
2.6338,246.94165
2.6438,246.94165
2.6538,246.94165
2.6638,246.94165
2.6738,246.94165
2.6838,246.94165
2.6938,247.245
2.7038,246.264
2.7138,246.413
2.7238,248.02
2.7338,246.94165
2.7438,246.94165
2.7538,246.94165
2.7638,246.94165
2.7738,247.944
2.7838,246.275
2.7938,246.156
2.8038,246.227
2.8138,246.409
2.8238,246.444
2.8338,246.588
2.8438,248.772
2.8538,246.94165
2.8638,246.94165
2.8738,246.94165
2.8838,246.94165
2.8938,247.35
3.3138,246.94165
3.3238,248.866
3.3338,246.94165
3.3438,246.94165
3.3538,246.94165
3.3638,246.94165
3.3738,246.94165
3.3838,246.94165
3.3938,246.94165
3.4038,246.94165
3.4138,246.94165
3.4238,246.94165
3.4338,246.94165
3.4438,246.94165
3.4538,246.94165
3.4638,246.94165
3.4738,246.94165
3.4838,246.94165
3.4938,246.94165
3.5038,246.94165
3.5138,246.94165
3.5238,246.94165
3.5338,246.94165
3.5438,246.94165
3.5538,246.94165
3.5638,246.94165
3.5738,246.94165
3.5838,246.94165
3.5938,246.94165
3.6038,246.94165
3.6138,246.94165
3.6238,246.94165
3.6338,246.94165
3.6438,246.94165
3.6538,246.94165
3.6638,246.94165
3.6738,246.94165
3.6838,246.94165
3.6938,246.94165
3.7038,246.94165
3.7138,246.94165
3.7238,246.94165
3.7338,246.94165
3.7438,247.339
3.7538,246.19
3.7638,246.142
3.7738,246.167
3.7838,246.139
3.7938,246.118
3.8038,246.139
3.8138,246.138
3.8238,246.198
3.8338,247.577
3.8438,246.94165
3.8538,246.94165
3.8638,246.94165
3.8738,248.535
3.8838,246.94165
4.2038,369.99442
4.2138,371.362
4.2238,372.112
4.2338,371.731
4.2438,371.701
4.2538,371.722
4.2638,371.447
4.2738,371.749
4.2838,372.23
4.2938,372.015
4.3038,372.076
4.3138,372.107
4.3238,371.971
4.3338,372.428
4.3438,372.409
4.3538,372.322
4.3638,372.233
4.3738,372.002
4.3838,372.106
4.3938,372.149
4.4038,372.303
4.4138,372.303
4.4238,372.288
4.4338,372.568
4.4438,372.625
4.4538,372.478
4.4638,372.3
4.4738,372.039
4.4838,372.099
4.4938,372.056
4.5038,372.179
4.5138,372.111
4.5238,372.096
4.5338,372.078
4.5438,372.387
4.5538,369.99442
4.5638,369.99442
4.5738,391.99542
4.5838,369.99442
4.5938,391.99542
4.6038,391.99542
4.6138,391.99542
4.6238,369.99442
4.6338,372.676
4.6438,372.04
4.6538,372.09
4.6638,372.101
4.6738,372.105
4.6838,372.089
4.6938,372.002
4.7038,371.99
4.7138,371.986
4.7238,371.977
4.7338,371.977
4.7438,371.832
4.8738,184.99721
4.8838,184.99721
5.4138,246.94165
5.4238,246.94165
5.4338,246.94165
5.4938,248.932
5.5038,246.94165
5.5138,246.94165
5.5238,246.94165
5.5338,246.94165
5.5438,246.94165
5.5538,246.94165
5.5638,246.94165
5.5738,246.94165
5.5838,246.94165
5.5938,248.186
5.6038,246.442
5.6138,246.271
5.6238,247.106
5.6338,246.94165
5.6438,246.94165
5.6538,246.94165
5.6638,246.94165
5.6738,249.063
5.6838,246.644
5.6938,246.162
5.7038,246.178
5.7138,246.334
5.7238,246.463
5.7338,246.4
5.7438,247.641
5.7538,246.94165
5.7638,246.94165
5.7738,246.94165
5.7838,246.94165
5.7938,248.452
6.2338,279.589
6.2438,277.18265
6.2538,277.18265
6.2638,277.18265
6.2738,277.18265
6.2838,277.18265
6.2938,277.18265
6.3038,277.18265
6.3138,277.18265
6.3238,277.18265
6.3338,277.18265
6.3438,277.18265
6.3538,277.18265
6.3638,277.18265
6.3738,277.18265
6.3838,277.18265
6.3938,277.18265
6.4038,277.18265
6.4138,277.18265
6.4238,277.18265
6.4338,277.18265
6.4438,277.18265
6.4538,277.18265
6.4638,277.18265
6.4738,277.18265
6.4838,277.18265
6.4938,277.18265
6.5038,277.18265
6.5138,277.18265
6.5238,277.18265
6.5338,277.18265
6.5438,277.18265
6.5538,277.18265
6.5638,277.18265
6.5738,277.18265
6.5838,277.18265
6.5938,277.18265
6.6038,277.18265
6.6138,277.18265
6.6238,277.18265
6.6338,277.18265
6.6438,277.18265
6.6538,277.18265
6.6638,277.18265
6.6738,277.18265
6.6838,277.18265
6.6938,277.18265
6.7038,277.18265
6.7138,277.18265
6.7238,277.18265
6.7338,277.18265
6.7438,277.18265
6.7538,277.18265
7.0438,279.222
7.0538,277.18265
7.0638,277.18265
7.0738,293.66476
7.0838,293.66476
7.0938,293.66476
7.1038,293.14
7.1138,295.974
7.1238,293.66476
7.1338,293.66476
7.1438,293.66476
7.1538,293.66476
7.1638,293.66476
7.1738,293.66476
7.1838,329.62756
7.1938,329.62756
7.2038,329.62756
7.2138,329.62756
