time_s,hz
0.5408,273.493
0.5508,276.884
0.5608,280.277
0.5708,280.702
0.5808,280.702
0.5908,280.742
0.6008,280.826
0.6108,280.387
0.6208,280.634
0.6308,280.702
0.6408,280.702
0.6508,280.702
0.6608,280.566
0.6708,280.493
0.6808,280.681
0.6908,280.702
0.7008,280.702
0.7108,280.706
0.7208,280.822
0.7308,280.782
0.7408,280.693
0.7508,280.702
0.7608,280.702
0.7708,280.702
0.7808,280.756
0.7908,280.883
0.8008,280.726
0.8108,280.701
0.8208,280.702
0.8308,280.702
0.8408,280.706
0.8508,280.593
0.8608,280.600
0.8708,280.484
0.8808,280.414
0.8908,280.532
0.9008,280.777
0.9108,280.611
0.9208,281.172
0.9308,281.229
0.9408,280.641
0.9508,280.710
0.9608,280.672
0.9708,281.091
0.9808,281.105
0.9908,281.944
1.0008,284.923
1.0108,282.780
1.0208,280.699
1.0308,280.780
1.0408,279.645
1.0508,276.650
1.0608,275.883
1.0708,275.999
1.0808,277.730
1.0908,280.220
1.1008,280.844
1.1108,282.002
1.1208,282.727
1.1308,281.135
1.1408,280.632
1.1508,279.315
1.1608,276.761
1.1708,275.870
1.1808,275.860
1.1908,275.742
1.2008,276.078
1.2108,276.281
1.2208,276.016
1.2308,276.278
1.2408,278.247
1.2508,280.544
1.2608,280.589
1.2708,280.539
1.2808,278.786
1.2908,275.980
1.3008,275.510
1.3108,274.141
1.3208,268.041
1.8108,209.472
1.8208,207.891
1.8308,207.775
1.8408,207.501
1.8508,207.587
1.8608,207.786
1.8708,207.780
1.8808,207.597
1.8908,207.684
1.9008,207.791
1.9108,207.792
1.9208,207.727
1.9308,207.697
1.9408,207.783
1.9508,207.810
1.9608,207.931
1.9708,207.839
1.9808,207.790
1.9908,207.795
2.0008,208.000
2.0108,208.072
2.0208,207.742
2.0308,207.453
2.0408,207.441
2.0508,207.554
2.0608,207.862
2.0708,207.994
2.0808,208.352
2.0908,208.544
2.1008,207.924
2.1108,207.701
2.1208,208.097
2.1308,208.287
2.1408,208.296
2.1508,208.166
2.1608,208.112
