time_s,hz
0.5408,277.18265
0.5508,276.884
0.5608,277.18265
0.5708,277.18265
0.5808,277.18265
0.5908,277.18265
0.6008,277.18265
0.6108,277.18265
0.6208,277.18265
0.6308,277.18265
0.6408,277.18265
0.6508,277.18265
0.6608,277.18265
0.6708,277.18265
0.6808,277.18265
0.6908,277.18265
0.7008,277.18265
0.7108,277.18265
0.7208,277.18265
0.7308,277.18265
0.7408,277.18265
0.7508,277.18265
0.7608,277.18265
0.7708,277.18265
0.7808,277.18265
0.7908,277.18265
0.8008,277.18265
0.8108,277.18265
0.8208,277.18265
0.8308,277.18265
0.8408,277.18265
0.8508,277.18265
0.8608,277.18265
0.8708,277.18265
0.8808,277.18265
0.8908,277.18265
0.9008,277.18265
0.9108,277.18265
0.9208,277.18265
0.9308,277.18265
0.9408,277.18265
0.9508,277.18265
0.9608,277.18265
0.9708,277.18265
0.9808,277.18265
0.9908,277.18265
1.0008,277.18265
1.0108,277.18265
1.0208,277.18265
1.0308,277.18265
1.0408,277.18265
1.0508,276.65
1.0608,275.883
1.0708,275.999
1.0808,277.73
1.0908,277.18265
1.1008,277.18265
1.1108,277.18265
1.1208,277.18265
1.1308,277.18265
1.1408,277.18265
1.1508,279.315
1.1608,276.761
1.1708,275.87
1.1808,275.86
1.1908,275.742
1.2008,276.078
1.2108,276.281
1.2208,276.016
1.2308,276.278
1.2408,278.247
1.2508,277.18265
1.2608,277.18265
1.2708,277.18265
1.2808,278.786
1.2908,275.98
1.3008,275.51
1.3108,277.18265
1.3208,277.18265
1.8108,207.65234
1.8208,207.891
1.8308,207.775
1.8408,207.501
1.8508,207.587
1.8608,207.786
1.8708,207.78
1.8808,207.597
1.8908,207.684
1.9008,207.791
1.9108,207.792
1.9208,207.727
1.9308,207.697
1.9408,207.783
1.9508,207.81
1.9608,207.931
1.9708,207.839
1.9808,207.79
1.9908,207.795
2.0008,208
2.0108,208.072
2.0208,207.742
2.0308,207.453
2.0408,207.441
2.0508,207.554
2.0608,207.862
2.0708,207.994
2.0808,208.352
2.0908,208.544
2.1008,207.924
2.1108,207.701
2.1208,208.097
2.1308,208.287
2.1408,208.296
2.1508,208.166
2.1608,208.112
2.1708,207.795
2.1808,207.797
2.1908,207.68
2.2008,207.765
2.2108,207.782
2.2208,207.861
2.2308,207.817
2.2408,207.783
2.2508,207.879
2.2608,207.87
2.2708,208.043
2.2808,207.698
2.2908,207.616
2.3008,207.791
2.3108,207.854
2.3208,207.957
2.3308,207.624
2.3408,207.687
2.3508,207.872
2.3608,207.65234
2.3708,207.65234
2.3808,207.65234
2.3908,207.65234
2.4008,207.65234
2.4108,207.65234
2.4208,208.908
2.6008,123.032
2.6108,122.995
2.7608,219.087
2.7708,221.491
2.7808,220
2.7908,220
2.8008,220
2.8108,220
2.8208,220
2.8308,220
2.8408,220
2.8508,220
2.8608,246.94165
2.8708,246.94165
2.8808,246.94165
2.8908,246.94165
2.9008,246.94165
2.9108,123.470825
2.9208,123.54
2.9308,123.025
2.9408,122.695
2.9508,122.976
2.9608,124.044
2.9708,164.81378
2.9808,164.81378
3.0508,246.94165
3.0608,246.94165
3.0708,246.94165
3.0808,246.94165
3.0908,246.94165
3.1008,246.94165
3.1108,246.94165
3.1208,246.94165
3.1308,246.94165
3.1408,246.94165
3.1508,246.94165
3.1608,246.94165
