time_s,hz
0.4243,411.709
0.4343,421.471
0.4443,430.102
0.4543,433.693
0.4643,439.058
0.4743,444.678
0.4843,444.582
0.4943,444.722
0.5043,444.049
0.5143,444.049
0.5243,443.811
0.5343,444.067
0.5443,444.217
0.5543,448.676
0.5643,455.990
0.5743,457.021
0.5843,456.930
0.5943,453.288
0.6043,445.767
0.6143,444.318
0.6243,444.380
0.6343,444.379
0.6443,444.364
0.6543,444.317
0.6643,444.306
0.6743,444.820
0.6843,450.879
0.6943,453.988
0.7043,447.474
0.7143,446.041
0.7243,444.726
0.7343,444.577
0.7443,444.467
0.7543,444.451
0.7643,444.744
0.7743,450.105
0.7843,455.136
0.7943,448.342
0.8043,444.385
0.8143,444.320
0.8243,444.312
0.8343,444.230
0.8443,444.259
0.8543,444.141
0.8643,446.455
0.8743,454.005
0.8843,451.100
0.8943,444.647
0.9043,444.097
0.9143,444.109
0.9243,444.365
0.9343,444.528
0.9443,444.420
0.9543,444.186
0.9643,443.728
0.9743,443.465
0.9843,443.895
0.9943,444.074
1.0043,444.333
1.0143,444.339
1.0243,444.292
1.0343,444.383
1.0443,444.415
1.0543,444.471
1.0643,444.296
1.0743,444.279
1.0843,444.120
1.0943,444.242
1.1043,443.729
1.1143,439.366
1.2643,370.166
1.2743,361.659
1.2843,353.081
1.2943,343.341
1.3043,334.616
1.3143,327.622
1.3243,319.075
1.3343,310.084
1.3443,301.798
1.3543,293.847
1.3643,286.290
1.3743,278.293
1.3843,269.907
1.3943,263.638
1.4043,262.316
1.4143,262.280
1.4243,262.300
1.4343,262.299
1.4443,262.296
1.4543,263.200
1.4643,265.763
1.4743,266.667
1.4843,266.619
1.4943,266.616
1.5043,266.610
1.5143,266.613
1.5243,266.639
1.5343,266.237
1.5443,264.057
1.5543,262.541
1.5643,262.293
1.5743,261.030
1.5843,260.578
1.5943,262.181
1.6043,262.315
1.6143,262.321
1.6243,262.321
1.6343,262.345
1.6443,262.198
1.6543,262.281
1.6643,262.038
1.6743,261.343
1.6843,260.003
1.7543,256.641
1.7643,261.224
1.7743,262.370
1.7843,261.892
1.7943,262.449
1.8043,262.144
1.8143,262.382
1.8243,262.314
1.8343,262.040
1.8443,262.241
1.8543,262.392
1.8643,262.299
1.8743,262.337
1.8843,262.343
1.8943,262.302
1.9043,262.296
1.9143,262.316
1.9243,262.297
1.9343,262.319
1.9443,262.290
1.9543,262.298
1.9643,262.299
1.9743,262.275
1.9843,262.251
1.9943,262.226
2.0043,262.218
2.0143,262.210
2.0243,262.177
2.0343,262.192
2.0443,262.232
2.0543,262.248
2.0643,262.257
2.0743,262.283
2.0843,262.312
2.0943,262.268
2.1043,262.272
2.1143,262.298
2.1243,262.313
2.1343,262.324
2.1443,262.302
2.1543,262.297
2.1643,262.288
2.1743,262.304
2.1843,262.328
2.1943,262.307
2.2043,262.302
2.2143,262.321
2.2243,262.316
2.2343,262.331
2.2443,262.324
2.2543,262.311
2.2643,262.318
2.2743,263.089
2.2843,265.826
2.2943,266.652
2.3043,266.624
2.3143,266.676
2.3243,266.662
2.3343,266.694
2.3443,266.686
2.3543,266.554
2.3643,264.626
2.3743,262.426
2.3843,262.205
2.3943,261.314
2.4043,261.738
2.4143,262.326
2.4243,262.354
2.4343,262.325
2.4443,262.294
2.4543,262.353
2.4643,262.306
2.4743,262.302
2.4843,262.214
2.4943,258.510
2.5043,247.830
2.5343,262.079
2.5443,262.114
2.5543,262.065
2.5643,261.952
2.5743,263.970
2.5843,267.444
2.5943,271.227
2.6043,274.350
2.6143,278.232
2.6243,281.386
2.6343,285.342
2.6443,289.129
2.6543,292.674
2.6643,296.710
2.6743,300.789
2.6843,304.124
2.6943,307.658
2.7043,311.149
2.7143,314.676
2.7243,318.943
2.7343,323.070
2.7443,326.554
2.7543,330.695
2.7643,334.194
2.7743,338.410
2.7843,341.137
2.7943,346.300
2.8043,349.846
2.8143,353.885
2.8243,355.941
2.8343,360.228
2.8443,364.107
2.8543,369.428
2.8643,372.345
2.8743,375.908
2.8843,380.311
2.8943,382.366
2.9043,387.490
2.9143,390.282
2.9243,393.055
2.9343,399.068
2.9443,399.917
2.9543,400.016
2.9643,400.080
2.9743,399.999
2.9843,399.955
2.9943,399.977
3.0043,399.878
3.0143,399.831
3.0243,399.764
3.0343,399.750
3.0443,399.728
3.0543,399.795
3.0643,400.048
3.0743,400.247
3.0843,400.561
3.0943,400.323
3.1043,400.458
3.1143,400.322
3.1243,400.261
3.1343,400.181
3.1443,399.524
3.1543,394.935
3.1643,390.619
3.1743,390.204
3.1843,391.230
3.1943,396.713
3.2043,399.864
3.2143,400.051
3.2243,400.025
3.2343,400.024
3.2443,400.046
3.2543,399.102
3.2643,393.964
3.2743,390.489
3.2843,390.291
3.2943,390.281
3.3043,390.246
3.3143,390.293
3.3243,390.266
3.3343,390.452
3.3443,393.436
3.3543,398.809
3.3643,399.899
3.3743,399.959
3.3843,400.051
3.3943,400.043
3.4043,400.131
3.4143,400.366
3.8443,440.875
3.8543,446.877
3.8643,448.379
3.8743,444.073
3.8843,444.026
3.8943,444.737
3.9043,444.614
3.9143,444.589
3.9243,443.935
3.9343,443.831
3.9443,443.964
3.9543,444.055
3.9643,445.534
3.9743,452.923
3.9843,456.943
3.9943,457.001
4.0043,456.129
4.0143,448.939
4.0243,444.413
4.0343,444.353
4.0443,444.379
4.0543,444.392
4.0643,444.343
4.0743,444.283
4.0843,444.312
4.0943,447.085
4.1043,454.541
4.1143,452.400
4.1243,446.602
4.1343,445.686
4.1443,444.593
4.1543,444.557
4.1643,444.449
4.1743,444.466
4.1843,445.418
4.1943,452.475
4.2043,454.092
4.2143,446.375
4.2243,444.301
4.2343,444.334
4.2443,444.301
4.2543,444.205
4.2643,444.255
4.2743,444.260
4.2843,448.387
4.2943,453.909
4.3043,447.059
4.3143,444.087
4.3243,444.193
4.3343,444.133
4.3443,444.454
4.3543,444.493
4.3643,444.401
4.3743,443.855
4.3843,443.835
4.3943,443.516
4.4043,443.966
4.4143,444.168
4.4243,444.327
4.4343,444.323
4.4443,444.322
4.4543,444.407
4.4643,444.421
4.4743,444.393
4.4843,444.320
4.4943,444.215
4.5043,444.149
4.5143,444.279
4.5243,443.049
4.5343,436.888
4.7143,457.286
4.7243,461.244
4.7343,469.477
4.7443,471.185
4.7543,470.710
4.7643,470.581
4.7743,470.640
4.7843,470.612
4.7943,470.698
4.8043,470.698
4.8143,470.735
4.8243,470.613
4.8343,470.649
4.8443,470.878
4.8543,470.952
4.8643,470.671
4.8743,470.393
4.8843,470.275
4.8943,470.448
4.9043,472.629
4.9143,481.030
4.9243,484.754
4.9343,484.723
4.9443,481.222
4.9543,472.606
4.9643,470.233
4.9743,470.538
4.9843,470.626
4.9943,470.342
5.0043,470.271
5.0143,470.304
5.0243,470.387
5.0343,470.202
5.0443,469.904
5.0543,470.033
5.0643,469.657
5.0743,469.405
5.0843,471.871
5.1843,442.559
5.1943,439.128
5.2043,430.844
5.2143,423.204
5.2243,414.481
5.2343,406.419
5.2443,398.415
5.2543,389.338
5.2643,379.138
5.2743,371.088
5.2843,363.819
5.2943,356.441
5.3043,347.882
5.3143,339.347
5.3243,331.391
5.3343,323.147
5.3443,313.614
5.3543,306.038
5.3643,299.406
5.3743,296.439
5.3843,296.404
5.3943,296.431
5.4043,296.451
5.4143,296.544
5.4243,296.509
5.4343,296.389
5.4443,296.360
5.4543,296.280
5.4643,296.281
5.4743,296.321
5.4843,296.343
5.4943,296.234
5.5043,296.276
5.5143,296.281
5.5243,296.281
5.5343,296.308
5.5443,296.279
5.5543,296.271
5.5643,296.310
5.5743,296.312
5.5843,296.313
5.5943,296.280
5.6043,296.259
5.6143,296.292
5.6243,296.311
5.6343,296.311
5.6443,296.303
5.6543,296.269
5.6643,296.322
5.6743,296.341
5.6843,296.342
5.6943,296.299
5.7043,296.362
5.7143,296.240
5.7243,297.170
5.7343,300.639
5.7443,301.847
5.7543,301.888
5.7643,300.835
5.7743,297.397
5.7843,296.287
5.7943,296.035
5.8043,293.298
5.8143,291.064
5.8243,290.987
5.8343,292.210
5.8443,295.585
5.8543,296.361
5.8643,296.344
5.8743,296.351
5.8843,296.411
5.8943,296.309
5.9043,295.438
5.9143,287.171
5.9543,296.103
5.9643,296.045
5.9743,295.804
5.9843,296.109
5.9943,296.719
6.0043,300.287
6.0143,302.555
6.0243,305.896
6.0343,308.033
6.0443,311.648
6.0543,314.043
6.0643,317.084
6.0743,319.764
6.0843,322.292
6.0943,325.732
6.1043,327.246
6.1143,331.473
6.1243,333.172
6.1343,336.771
6.1443,340.012
6.1543,341.102
6.1643,345.751
6.1743,347.598
6.1843,350.291
6.1943,354.726
6.2043,356.129
6.2143,359.331
6.2243,363.289
6.2343,363.688
6.2443,366.799
6.2543,371.798
6.2643,372.691
6.2743,377.867
6.2843,380.631
6.2943,380.736
6.3043,383.010
6.3143,388.517
6.3243,390.224
6.3343,390.903
6.3443,395.754
6.3543,399.829
6.3643,399.934
6.3743,400.069
6.3843,400.048
6.3943,399.975
6.4043,399.959
6.4143,399.957
6.4243,399.841
6.4343,399.806
6.4443,399.765
6.4543,399.724
6.4643,399.750
6.4743,399.877
6.4843,400.129
6.4943,400.413
6.5043,400.475
6.5143,400.355
6.5243,400.434
6.5343,400.275
6.5443,400.251
6.5543,400.089
6.5643,398.250
6.5743,392.499
6.5843,390.291
6.5943,390.258
6.6043,393.108
6.6143,398.652
6.6243,400.041
6.6343,400.037
6.6443,400.019
6.6543,400.039
6.6643,399.963
6.6743,397.462
6.6843,391.837
6.6943,390.323
6.7043,390.281
6.7143,390.269
6.7243,390.258
6.7343,390.290
6.7443,390.278
6.7543,391.071
6.7643,395.909
6.7743,399.675
6.7843,399.938
6.7943,399.965
6.8043,400.045
6.8143,400.114
6.8243,400.176
6.8343,400.427
7.3943,445.227
7.4043,445.602
7.4143,445.440
7.4243,445.305
7.4343,445.699
7.4443,445.249
7.4543,444.775
7.4643,444.752
7.4743,444.943
7.4843,444.700
7.4943,444.559
7.5043,444.459
7.5143,444.535
7.5243,444.503
7.5343,444.462
7.5443,444.409
7.5543,444.251
7.5643,444.038
7.5743,444.203
7.5843,444.284
7.5943,444.351
7.6043,444.297
7.6143,444.342
7.6243,444.445
7.6343,444.398
7.6443,444.337
7.6543,444.349
7.6643,444.321
7.6743,444.423
7.6843,444.597
7.6943,444.705
7.7043,444.893
7.7143,445.160
7.7243,445.248
7.7343,446.054
7.7443,445.434
7.7543,444.088
7.7643,442.999
7.7743,442.507
7.7843,443.485
7.8443,177.889
7.8543,177.795
7.8643,177.716
7.8743,177.668
7.8843,177.710
7.8943,177.658
7.9043,177.649
7.9143,177.883
8.0143,443.542
8.0243,441.410
8.0343,437.185
8.0443,432.143
8.0543,427.181
8.0643,422.415
8.0743,417.522
8.0843,411.198
8.0943,407.110
8.1043,400.122
8.1143,394.714
8.1243,390.224
8.1343,385.135
8.1443,379.118
8.1543,373.174
8.1643,368.462
8.1743,363.581
8.1843,358.474
8.1943,354.469
8.2043,349.400
8.2143,344.088
8.2243,337.713
8.2343,332.784
8.2443,327.944
8.2543,322.780
8.2643,317.559
8.2743,312.515
8.2843,306.660
8.2943,300.816
8.3043,296.863
8.3143,296.157
8.3243,296.300
8.3343,296.441
8.3443,296.437
8.3543,296.399
8.3643,296.390
8.3743,296.376
8.3843,296.340
8.3943,296.328
8.4043,296.316
8.4143,296.494
8.4243,300.865
8.4343,301.646
8.4443,301.762
8.4543,301.623
8.4643,297.183
8.4743,296.229
8.4843,296.179
8.4943,292.850
8.5043,295.228
8.5143,296.260
8.5243,296.349
8.5343,300.916
8.5443,300.216
8.5543,300.483
8.7243,293.443
8.7343,295.033
8.7443,296.181
8.7543,296.470
8.7643,298.940
8.7743,311.088
8.7843,343.466
8.7943,359.225
8.8043,375.334
8.8143,402.440
8.8243,424.914
8.8343,444.978
8.8443,464.674
8.8543,476.153
8.8643,472.185
8.8743,470.363
8.8843,470.390
8.8943,470.438
8.9043,470.583
8.9143,470.628
8.9243,470.870
8.9343,475.767
8.9443,482.471
8.9543,476.310
8.9643,470.547
8.9743,470.325
8.9843,470.624
8.9943,470.424
9.0043,470.314
9.0143,470.461
9.0243,470.069
9.0343,470.046
9.0443,470.334
9.0543,470.403
9.0643,469.521
9.0743,469.352
9.0843,470.757
9.0943,471.261
9.1043,470.817
9.4043,444.539
9.4143,446.109
9.4243,445.738
9.4343,445.361
9.4443,445.296
9.4543,445.472
9.4643,445.323
9.4743,444.360
9.4843,443.823
9.4943,444.123
9.5043,444.147
9.5143,444.127
9.5243,444.275
9.5343,444.235
9.5443,444.145
9.5543,444.231
9.5643,444.356
9.5743,444.420
9.5843,444.699
9.5943,444.977
9.6043,445.028
9.6143,444.818
9.6243,444.611
9.6343,444.479
9.6443,444.558
9.6543,444.627
9.6643,444.523
9.6743,444.518
9.6843,444.436
9.6943,444.486
9.7043,444.504
9.7143,444.490
9.7243,444.482
9.7343,444.352
9.7443,444.235
9.7543,444.292
9.7643,444.351
9.7743,444.301
9.7843,444.246
9.7943,444.253
9.8043,444.187
9.8143,444.110
9.8243,444.765
9.8343,451.437
9.8443,456.740
9.8543,457.255
9.8643,456.179
9.8743,449.352
9.8843,444.577
9.8943,444.159
9.9043,443.992
9.9143,444.040
9.9243,444.150
9.9343,443.978
9.9443,444.328
10.4543,399.386
10.4643,399.492
10.4743,400.049
10.4843,400.040
10.4943,400.073
10.5043,399.982
10.5143,399.868
10.5243,399.894
10.5343,399.937
10.5443,400.055
10.5543,400.019
10.5643,399.895
10.5743,399.843
10.5843,399.893
10.5943,399.744
10.6043,399.951
10.6143,399.837
10.6243,399.608
10.6343,399.752
10.6443,400.148
10.6543,400.019
10.6643,399.928
10.6743,399.960
10.6843,399.981
10.6943,399.966
10.7043,399.839
10.7143,399.780
10.7243,399.858
10.7343,399.994
10.7443,400.076
10.7543,399.974
10.7643,399.930
10.7743,399.969
10.7843,399.929
10.7943,399.956
10.8043,399.842
10.8143,399.973
10.8243,399.623
10.8343,399.936
10.8443,399.665
10.8543,399.668
10.8643,399.574
10.8743,400.085
10.8843,397.090
11.0443,399.597
11.0543,400.178
11.0643,400.069
11.0743,397.423
11.0843,387.126
11.0943,374.697
11.1043,364.749
11.1143,355.128
11.1243,345.173
11.1343,332.708
11.1443,318.792
11.1543,307.240
11.1643,296.502
11.1743,286.552
11.1843,276.238
11.1943,268.019
11.2043,266.283
