time_s,hz
0.4243,391.99542
0.4343,440
0.4443,440
0.4543,440
0.4643,439.058
0.4743,440
0.4843,440
0.4943,440
0.5043,440
0.5143,440
0.5243,443.811
0.5343,440
0.5443,440
0.5543,440
0.5643,466.1638
0.5743,466.1638
0.5843,466.1638
0.5943,466.1638
0.6043,440
0.6143,440
0.6243,440
0.6343,440
0.6443,440
0.6543,440
0.6643,440
0.6743,440
0.6843,440
0.6943,466.1638
0.7043,440
0.7143,440
0.7243,440
0.7343,440
0.7443,440
0.7543,440
0.7643,440
0.7743,440
0.7843,466.1638
0.7943,440
0.8043,440
0.8143,440
0.8243,440
0.8343,440
0.8443,440
0.8543,440
0.8643,440
0.8743,466.1638
0.8843,440
0.8943,440
0.9043,440
0.9143,440
0.9243,440
0.9343,440
0.9443,440
0.9543,440
0.9643,443.728
0.9743,443.465
0.9843,440
0.9943,440
1.0043,440
1.0143,440
1.0243,440
1.0343,440
1.0443,440
1.0543,440
1.0643,440
1.0743,440
1.0843,440
1.0943,440
1.1043,443.729
1.1143,439.366
1.2643,391.99542
1.2743,349.22824
1.2843,349.22824
1.2943,349.22824
1.3043,329.62756
1.3143,327.622
1.3243,329.62756
1.3343,293.66476
1.3443,293.66476
1.3543,293.847
1.3643,293.66476
1.3743,293.66476
1.3843,261.62555
1.3943,263.638
1.4043,262.316
1.4143,262.28
1.4243,262.3
1.4343,262.299
1.4443,262.296
1.4543,263.2
1.4643,261.62555
1.4743,261.62555
1.4843,261.62555
1.4943,261.62555
1.5043,261.62555
1.5143,261.62555
1.5243,261.62555
1.5343,261.62555
1.5443,261.62555
1.5543,262.541
1.5643,262.293
1.5743,261.03
1.5843,260.578
1.5943,262.181
1.6043,262.315
1.6143,262.321
1.6243,262.321
1.6343,262.345
1.6443,262.198
1.6543,262.281
1.6643,262.038
1.6743,261.343
1.6843,260.003
1.7543,261.62555
1.7643,261.224
1.7743,262.37
1.7843,261.892
1.7943,262.449
1.8043,262.144
1.8143,262.382
1.8243,262.314
1.8343,262.04
1.8443,262.241
1.8543,262.392
1.8643,262.299
1.8743,262.337
1.8843,262.343
1.8943,262.302
1.9043,262.296
1.9143,262.316
1.9243,262.297
1.9343,262.319
1.9443,262.29
1.9543,262.298
1.9643,262.299
1.9743,262.275
1.9843,262.251
1.9943,262.226
2.0043,262.218
2.0143,262.21
2.0243,262.177
2.0343,262.192
2.0443,262.232
2.0543,262.248
2.0643,262.257
2.0743,262.283
2.0843,262.312
2.0943,262.268
2.1043,262.272
2.1143,262.298
2.1243,262.313
2.1343,262.324
2.1443,262.302
2.1543,262.297
2.1643,262.288
2.1743,262.304
2.1843,262.328
2.1943,262.307
2.2043,262.302
2.2143,262.321
2.2243,262.316
2.2343,262.331
2.2443,262.324
2.2543,262.311
2.2643,262.318
2.2743,263.089
2.2843,261.62555
2.2943,261.62555
2.3043,261.62555
2.3143,261.62555
2.3243,261.62555
2.3343,261.62555
2.3443,261.62555
2.3543,261.62555
2.3643,261.62555
2.3743,262.426
2.3843,262.205
2.3943,261.314
2.4043,261.738
2.4143,262.326
2.4243,262.354
2.4343,262.325
2.4443,262.294
2.4543,262.353
2.4643,262.306
2.4743,262.302
2.4843,262.214
2.4943,261.62555
2.5043,261.62555
2.5343,262.079
2.5443,262.114
2.5543,262.065
2.5643,261.952
2.5743,261.62555
2.5843,261.62555
2.5943,261.62555
2.6043,261.62555
2.6143,293.66476
2.6243,293.66476
2.6343,293.66476
2.6443,293.66476
2.6543,292.674
2.6643,293.66476
2.6743,293.66476
2.6843,293.66476
2.6943,293.66476
2.7043,329.62756
2.7143,329.62756
2.7243,329.62756
2.7343,329.62756
2.7443,329.62756
2.7543,330.695
