time_s,hz
0.4237,259.371
0.4337,261.791
0.4437,262.128
0.4537,262.656
0.4637,265.978
0.4737,266.724
0.4837,266.844
0.4937,266.713
0.5037,266.729
0.5137,266.715
0.5237,266.674
0.5337,266.720
0.5437,266.140
0.5537,263.533
0.5637,262.187
0.5737,261.204
0.5837,261.868
0.5937,262.456
0.6037,264.453
0.6137,266.518
0.6237,266.708
0.6337,266.358
0.6437,263.920
0.6537,262.367
0.6637,261.702
0.6737,261.325
0.6837,262.237
0.6937,262.298
0.7037,262.344
0.7137,262.336
0.7237,262.288
0.7337,262.210
0.7437,262.303
0.7537,262.245
0.7637,262.044
0.7737,261.950
0.7837,260.632
0.7937,256.356
0.8537,256.478
0.8637,263.484
0.8737,266.361
0.8837,266.954
0.8937,268.707
0.9037,271.228
0.9137,271.066
0.9237,271.818
0.9337,274.622
0.9437,275.744
0.9537,275.897
0.9637,278.515
0.9737,280.430
0.9837,280.661
0.9937,280.711
1.0037,282.609
1.0137,285.335
1.0237,285.709
1.0337,285.902
1.0437,288.198
1.0537,290.692
1.0637,290.926
1.0737,290.967
1.0837,292.063
1.0937,295.356
1.1037,296.305
1.1137,296.444
1.1237,296.387
1.1337,296.427
1.1437,296.442
1.1537,296.549
1.1637,296.400
1.1737,296.351
1.1837,296.283
1.1937,296.267
1.2037,296.203
1.2137,296.230
1.2237,296.309
1.2337,296.257
1.2437,296.267
1.2537,296.279
1.2637,296.273
1.2737,296.291
1.2837,296.320
1.2937,296.269
1.3037,296.301
1.3137,296.310
1.3237,296.288
1.3337,296.220
1.3437,296.167
1.3537,296.211
1.3637,296.340
1.3737,296.596
1.3837,296.772
1.3937,296.587
1.4037,296.261
1.4137,296.459
1.4237,296.231
1.4337,296.442
1.4437,295.973
1.4537,296.251
1.4637,296.494
1.4737,296.374
1.4837,296.374
1.4937,296.195
1.5037,296.293
1.5137,296.317
1.5237,296.302
1.5337,297.558
1.5437,301.088
1.5537,302.036
1.5637,301.609
1.5737,298.432
1.5837,296.241
1.5937,294.039
1.6037,292.172
1.6137,295.165
1.6237,296.567
1.6337,299.579
1.6437,300.837
1.6537,297.408
1.6637,296.046
1.6737,293.269
1.6837,291.035
1.6937,291.065
1.7037,293.341
1.7137,296.111
1.7237,296.354
1.7337,296.544
1.7437,296.484
1.7537,296.534
1.7637,296.084
1.7737,293.037
1.7837,279.409
2.4637,262.113
2.4737,262.245
2.4837,262.279
2.4937,262.308
2.5037,262.298
2.5137,262.249
2.5237,262.269
2.5337,262.299
2.5437,262.324
