time_s,hz
0.4237,259.371
0.4337,261.791
0.4437,262.128
0.4537,262.656
0.4637,261.62555
0.4737,261.62555
0.4837,261.62555
0.4937,261.62555
0.5037,261.62555
0.5137,261.62555
0.5237,261.62555
0.5337,261.62555
0.5437,261.62555
0.5537,263.533
0.5637,262.187
0.5737,261.204
0.5837,261.868
0.5937,262.456
0.6037,261.62555
0.6137,261.62555
0.6237,261.62555
0.6337,261.62555
0.6437,261.62555
0.6537,262.367
0.6637,261.702
0.6737,261.325
0.6837,262.237
0.6937,262.298
0.7037,262.344
0.7137,262.336
0.7237,262.288
0.7337,262.21
0.7437,262.303
0.7537,262.245
0.7637,262.044
0.7737,261.95
0.7837,260.632
0.7937,261.62555
0.8537,261.62555
0.8637,263.484
0.8737,261.62555
0.8837,261.62555
0.8937,261.62555
0.9037,261.62555
0.9137,261.62555
0.9237,261.62555
0.9337,261.62555
0.9437,261.62555
0.9537,261.62555
0.9637,293.66476
0.9737,293.66476
0.9837,293.66476
0.9937,293.66476
1.0037,293.66476
1.0137,293.66476
1.0237,293.66476
1.0337,293.66476
1.0437,293.66476
1.0537,293.66476
1.0637,293.66476
1.0737,293.66476
1.0837,292.063
1.0937,295.356
1.1037,293.66476
1.1137,293.66476
1.1237,293.66476
1.1337,293.66476
1.1437,293.66476
1.1537,293.66476
1.1637,293.66476
1.1737,293.66476
1.1837,293.66476
1.1937,293.66476
1.2037,296.203
1.2137,293.66476
1.2237,293.66476
1.2337,293.66476
1.2437,293.66476
1.2537,293.66476
1.2637,293.66476
1.2737,293.66476
1.2837,293.66476
1.2937,293.66476
1.3037,293.66476
1.3137,293.66476
1.3237,293.66476
1.3337,296.22
1.3437,296.167
1.3537,296.211
1.3637,293.66476
1.3737,293.66476
1.3837,293.66476
1.3937,293.66476
1.4037,293.66476
1.4137,293.66476
1.4237,293.66476
1.4337,293.66476
1.4437,295.973
1.4537,293.66476
1.4637,293.66476
1.4737,293.66476
1.4837,293.66476
1.4937,296.195
1.5037,293.66476
1.5137,293.66476
1.5237,293.66476
1.5337,293.66476
1.5437,293.66476
1.5537,293.66476
1.5637,293.66476
1.5737,293.66476
1.5837,293.66476
1.5937,294.039
1.6037,292.172
1.6137,295.165
1.6237,293.66476
1.6337,293.66476
1.6437,293.66476
1.6537,293.66476
1.6637,296.046
1.6737,293.269
1.6837,293.66476
1.6937,293.66476
1.7037,293.341
1.7137,296.111
1.7237,293.66476
1.7337,293.66476
1.7437,293.66476
1.7537,293.66476
1.7637,296.084
1.7737,293.037
