time_s,hz
0.4104,288.923
0.4204,290.107
0.4304,292.783
0.4404,295.818
0.4504,296.133
0.4604,296.208
0.4704,296.325
0.4804,296.254
0.4904,297.400
0.5004,300.829
0.5104,301.939
0.5204,301.896
0.5304,300.664
0.5404,297.315
0.5504,296.300
0.5604,295.275
0.5704,292.251
0.5804,293.849
0.5904,296.170
0.6004,296.553
0.6104,299.149
0.6204,301.024
0.6304,297.791
0.6404,296.323
0.6504,294.853
0.6604,291.619
0.6704,290.929
0.6804,290.973
0.6904,293.012
0.7004,296.024
0.7104,296.341
0.7204,296.290
0.7304,296.305
0.7404,296.261
0.7504,295.952
0.7604,295.926
0.7704,295.690
0.7804,292.699
0.9404,177.825
0.9504,177.900
0.9604,177.792
0.9704,177.713
0.9804,177.796
0.9904,178.005
1.0004,177.854
1.0104,177.605
1.0204,177.696
1.0304,177.673
1.0604,333.448
1.0704,333.401
1.0804,333.423
1.0904,333.061
1.1004,333.111
1.1104,333.357
1.1204,333.360
1.1304,333.354
1.1404,333.247
1.1504,333.295
1.1604,333.280
1.1704,333.270
1.1804,333.168
1.1904,333.046
1.2004,333.236
1.2104,333.194
1.2204,333.057
1.2304,333.243
1.2404,333.369
1.2504,333.418
1.2604,333.108
1.2704,332.859
1.2804,333.079
1.2904,333.245
1.3004,333.349
1.3104,333.363
1.3204,333.339
1.3304,333.376
1.3404,333.375
1.3504,333.369
1.3604,333.354
1.3704,333.354
1.3804,333.328
1.3904,333.304
1.4004,333.340
1.4104,333.321
1.4204,333.305
1.4304,333.365
1.4404,333.391
1.4504,333.360
1.4604,333.366
1.4704,333.400
1.4804,333.366
1.4904,333.418
1.5004,333.510
1.5104,333.541
1.5204,333.608
1.5304,333.533
1.5404,333.629
1.5504,333.414
1.5604,333.152
1.6004,91.106
1.6104,89.473
1.6204,88.983
1.6404,174.252
1.6504,180.853
1.6704,324.744
1.6804,330.968
1.6904,333.028
1.7004,332.971
2.1504,293.724
2.1604,295.281
2.1704,296.337
2.1804,296.290
2.1904,296.154
2.2004,296.172
2.2104,296.330
2.2204,296.255
2.2304,296.992
2.2404,300.333
2.2504,301.919
2.2604,301.922
2.2704,301.069
2.2804,297.778
2.2904,296.325
2.3004,295.640
2.3104,292.574
2.3204,293.309
2.3304,296.020
2.3404,296.428
2.3504,298.553
2.3604,301.124
2.3704,298.365
2.3804,296.374
2.3904,295.324
2.4004,291.958
2.4104,290.939
2.4204,290.931
2.4304,292.450
2.4404,295.753
2.4504,296.357
2.4604,296.291
2.4704,296.301
2.4804,296.293
2.4904,295.998
2.5004,295.908
2.5104,295.833
2.5204,293.506
2.7904,295.541
2.8004,295.966
2.8104,296.003
