time_s,hz
0.4104,293.66476
0.4204,293.66476
0.4304,292.783
0.4404,295.818
0.4504,296.133
0.4604,296.208
0.4704,293.66476
0.4804,293.66476
0.4904,293.66476
0.5004,293.66476
0.5104,293.66476
0.5204,293.66476
0.5304,293.66476
0.5404,293.66476
0.5504,293.66476
0.5604,295.275
0.5704,292.251
0.5804,293.849
0.5904,296.17
0.6004,293.66476
0.6104,293.66476
0.6204,293.66476
0.6304,293.66476
0.6404,293.66476
0.6504,294.853
0.6604,291.619
0.6704,293.66476
0.6804,293.66476
0.6904,293.012
0.7004,296.024
0.7104,293.66476
0.7204,293.66476
0.7304,293.66476
0.7404,293.66476
0.7504,295.952
0.7604,295.926
0.7704,295.69
0.7804,292.699
0.9404,174.61412
0.9504,174.61412
0.9604,174.61412
0.9704,174.61412
0.9804,174.61412
0.9904,174.61412
1.0004,174.61412
1.0104,174.61412
1.0204,174.61412
1.0304,174.61412
1.0604,329.62756
1.0704,329.62756
1.0804,329.62756
1.0904,329.62756
1.1004,329.62756
1.1104,329.62756
1.1204,329.62756
1.1304,329.62756
1.1404,329.62756
1.1504,329.62756
1.1604,329.62756
1.1704,329.62756
1.1804,329.62756
1.1904,329.62756
1.2004,329.62756
1.2104,329.62756
1.2204,329.62756
1.2304,329.62756
1.2404,329.62756
1.2504,329.62756
1.2604,329.62756
1.2704,329.62756
1.2804,329.62756
1.2904,329.62756
1.3004,329.62756
1.3104,329.62756
1.3204,329.62756
1.3304,329.62756
1.3404,329.62756
1.3504,329.62756
1.3604,329.62756
1.3704,329.62756
1.3804,329.62756
1.3904,329.62756
1.4004,329.62756
1.4104,329.62756
1.4204,329.62756
1.4304,329.62756
1.4404,329.62756
1.4504,329.62756
1.4604,329.62756
1.4704,329.62756
1.4804,329.62756
1.4904,329.62756
1.5004,329.62756
1.5104,329.62756
1.5204,329.62756
1.5304,329.62756
1.5404,329.62756
1.5504,329.62756
1.5604,329.62756
1.6004,87.30706
1.6104,87.30706
1.6204,87.30706
1.6404,174.252
1.6504,174.61412
1.6704,329.62756
1.6804,330.968
1.6904,329.62756
1.7004,329.62756
2.1504,293.724
2.1604,295.281
2.1704,293.66476
2.1804,293.66476
2.1904,296.154
2.2004,296.172
2.2104,293.66476
2.2204,293.66476
2.2304,293.66476
2.2404,293.66476
2.2504,293.66476
2.2604,293.66476
2.2704,293.66476
2.2804,293.66476
2.2904,293.66476
2.3004,295.64
2.3104,292.574
2.3204,293.309
2.3304,296.02
2.3404,293.66476
2.3504,293.66476
2.3604,293.66476
2.3704,293.66476
2.3804,293.66476
2.3904,295.324
2.4004,291.958
2.4104,293.66476
2.4204,293.66476
2.4304,292.45
2.4404,295.753
2.4504,293.66476
2.4604,293.66476
2.4704,293.66476
2.4804,293.66476
2.4904,295.998
2.5004,295.908
2.5104,295.833
2.5204,293.506
2.7904,295.541
2.8004,295.966
2.8104,296.003
2.8204,296.146
2.8304,296.203
2.8404,296.051
2.8504,295.965
2.8604,296.029
2.8704,296.173
2.8804,296.205
2.8904,293.66476
2.9004,295.818
2.9104,295.514
2.9204,295.433
2.9304,295.83
2.9404,296.05
2.9504,293.66476
2.9604,293.66476
2.9704,296.122
2.9804,296.174
2.9904,293.66476
3.0004,293.66476
3.0104,293.66476
3.0204,293.66476
3.0304,293.66476
3.0404,293.66476
3.0504,293.66476
3.0604,293.66476
3.0704,293.66476
3.0804,293.66476
3.0904,293.66476
3.1004,293.66476
3.1104,293.66476
3.1204,293.66476
3.1304,293.66476
3.1404,293.66476
3.1504,293.66476
3.1604,293.66476
3.1704,293.66476
3.1804,293.66476
3.1904,293.66476
3.2004,293.66476
3.2104,293.66476
3.2204,293.66476
3.2304,293.66476
3.2404,293.66476
3.2504,293.66476
3.2604,295.962
3.2704,296.185
3.2804,293.66476
3.8904,295.696
3.9004,296.103
3.9104,293.66476
3.9204,293.66476
3.9304,296.203
3.9404,296.123
3.9504,293.66476
3.9604,293.66476
3.9704,293.66476
3.9804,293.66476
3.9904,293.66476
4.0004,293.66476
4.0104,293.66476
4.0204,293.66476
4.0304,293.66476
4.0404,295.677
4.0504,292.547
4.0604,292.098
4.0704,295.34
4.0804,293.66476
4.0904,293.66476
4.1004,293.66476
4.1104,293.66476
4.1204,293.66476
4.1304,296.024
4.1404,293.157
4.1504,293.66476
4.1604,293.66476
4.1704,292.39
4.1804,295.701
4.1904,293.66476
4.2004,293.66476
4.2104,293.66476
4.2204,293.66476
4.2304,296.119
4.2404,295.886
4.2504,295.946
4.2604,294.762
4.3204,295.352
4.3304,295.818
4.3404,296.113
4.3504,296.163
4.3604,293.66476
4.3704,293.66476
4.3804,293.66476
4.3904,293.66476
4.4004,293.66476
4.4104,296.215
4.4204,296.181
4.4304,296.215
4.4404,293.66476
4.4504,293.66476
4.4604,293.66476
4.4704,293.66476
4.4804,296.185
4.4904,293.66476
4.5004,293.66476
4.5104,293.66476
4.5204,293.66476
4.5304,293.66476
4.5404,293.66476
4.5504,293.66476
4.5604,293.66476
4.5704,293.66476
4.5804,293.66476
4.5904,293.66476
4.6004,293.66476
4.6104,293.66476
4.6204,293.66476
4.6304,293.66476
4.6404,293.66476
4.6504,293.66476
4.6604,293.66476
4.6704,293.66476
4.6804,293.66476
4.6904,293.66476
4.7004,293.66476
4.7104,293.66476
4.7204,293.66476
4.7304,293.66476
4.7404,293.66476
4.7504,293.66476
4.7604,296.217
4.7704,293.66476
4.7804,293.66476
4.7904,293.66476
4.8004,293.66476
4.8104,293.66476
4.8204,293.66476
4.8304,293.66476
4.8404,293.66476
4.8504,293.66476
4.8604,293.66476
4.8704,293.66476
4.8804,293.66476
4.8904,293.66476
4.9004,293.66476
4.9104,296.116
4.9204,296.184
4.9304,296.079
4.9404,293.66476
4.9504,293.66476
4.9604,293.66476
4.9704,293.66476
4.9804,293.66476
4.9904,293.66476
5.0004,293.66476
5.0104,293.66476
5.0204,293.66476
5.0304,293.66476
5.0404,293.66476
5.0504,294.558
5.0604,292.5
5.0704,295.397
5.0804,293.66476
5.0904,293.66476
5.1004,293.66476
5.1104,293.66476
5.1204,295.242
5.1304,291.635
5.1404,291.228
5.1504,291.734
5.1604,294.447
5.1704,296.161
5.1804,293.66476
5.2104,87.30706
5.2204,87.30706
5.6304,295.539
5.6404,295.989
5.6504,293.66476
5.6604,293.66476
5.6704,293.66476
5.6804,296.119
5.6904,293.66476
5.7004,293.66476
5.7104,293.66476
5.7204,293.66476
5.7304,293.66476
5.7404,293.66476
5.7504,293.66476
5.7604,293.66476
5.7704,293.66476
5.7804,296.037
5.7904,293.4
5.8004,292.549
5.8104,295.565
5.8204,293.66476
5.8304,293.66476
5.8404,293.66476
5.8504,293.66476
5.8604,293.66476
5.8704,293.66476
5.8804,294.032
5.8904,291.237
5.9004,293.66476
5.9104,291.731
5.9204,295.085
5.9304,293.66476
5.9404,293.66476
5.9504,293.66476
5.9604,293.66476
5.9704,296.195
5.9804,295.903
5.9904,295.947
6.0004,295.322
6.0104,293.66476
6.0704,294.832
6.0804,295.192
6.0904,295.959
6.1004,296.134
6.1104,293.66476
6.1204,296.186
6.1304,296.18
6.1404,296.218
6.1504,293.66476
6.1604,293.66476
6.1704,296.193
6.1804,296.216
6.1904,293.66476
6.2004,296.149
6.2104,295.923
6.2204,296.145
6.2304,293.66476
6.2404,293.66476
6.2504,293.66476
6.2604,293.66476
6.2704,293.66476
