time_s,hz
0.5337,399.839
0.5437,399.727
0.5537,399.610
0.5637,398.190
0.5737,392.240
0.5837,390.267
0.5937,391.545
0.6037,396.331
0.6137,399.753
0.6237,399.980
0.6337,400.051
0.6437,400.043
0.6537,400.032
0.6637,397.823
0.6737,391.734
0.6837,390.088
0.6937,390.578
0.7037,391.000
0.7137,390.527
0.7237,390.714
0.7337,390.486
0.7437,394.152
0.7537,399.362
0.7637,399.869
0.7737,399.934
0.7837,400.079
0.7937,400.072
0.8037,400.304
0.8137,401.200
1.2937,222.156
1.3037,221.749
1.3137,222.131
1.3237,222.337
1.3337,222.193
1.3437,221.825
1.3537,221.958
1.3637,222.106
1.3737,221.841
1.3837,221.686
1.3937,221.932
1.4037,221.731
1.4137,222.280
1.4237,222.300
1.4337,222.059
1.4437,222.203
1.4537,222.324
1.4637,222.602
1.4737,222.346
1.4837,222.345
1.4937,222.244
1.5037,222.218
1.5137,222.175
1.5237,222.218
1.5337,222.089
1.5437,222.023
1.5537,222.078
1.5637,221.694
1.5737,222.122
1.5837,222.081
1.5937,221.922
1.6037,224.281
1.6137,225.742
1.6237,225.160
1.6337,223.865
1.6437,222.239
1.6537,220.408
1.6637,219.176
1.6737,219.315
1.6837,220.796
1.6937,222.191
1.7037,224.192
1.7137,224.775
1.7237,222.371
1.7337,220.626
1.7437,219.377
1.7537,220.997
2.3737,401.637
2.3837,399.797
2.3937,399.688
2.4037,399.637
2.4137,397.631
2.4237,391.546
2.4337,390.340
2.4437,391.988
2.4537,397.100
2.4637,399.879
2.4737,399.981
2.4837,400.060
2.4937,400.037
2.5037,399.749
2.5137,395.407
2.5237,390.547
2.5337,390.132
2.5437,390.712
2.5537,390.930
2.5637,390.540
2.5737,390.687
2.5837,390.613
2.5937,395.105
2.6037,399.567
2.6137,399.859
2.6237,399.989
2.6337,400.087
2.6437,400.105
2.6537,400.586
2.6637,401.662
3.0237,319.195
3.0337,320.688
3.0437,323.173
3.1337,401.496
3.1437,399.670
3.1537,400.462
3.1637,401.307
3.1737,400.052
3.1837,400.528
3.1937,401.374
3.2037,400.019
3.2137,399.867
3.2237,399.753
3.2337,400.354
3.2437,400.367
3.2537,401.164
3.2637,401.424
3.2737,400.436
3.2837,401.647
3.2937,400.550
3.3037,400.221
3.3137,400.170
3.3237,400.109
3.3337,400.397
3.3437,400.144
3.3537,400.138
3.3637,400.108
3.3737,399.865
3.3837,399.135
3.3937,399.570
3.4037,399.488
3.4137,399.182
3.4237,399.598
3.4337,398.811
3.4437,399.759
3.4537,399.790
3.4637,399.623
3.4737,400.105
3.4837,399.761
3.4937,397.880
3.5037,390.941
3.5137,389.677
3.5237,391.932
3.5337,397.916
3.5437,399.248
3.5537,398.073
3.5637,399.379
3.5737,397.955
3.5837,392.116
3.5937,390.153
3.6037,389.544
3.6137,389.930
3.6237,389.374
3.6337,389.249
3.6437,392.634
3.6537,396.794
4.2237,400.428
4.2337,399.779
4.2437,399.669
4.2537,399.204
4.2637,394.622
4.2737,390.298
4.2837,390.629
4.2937,394.483
4.3037,399.154
4.3137,400.013
4.3237,399.994
4.3337,400.066
4.3437,400.034
4.3537,399.270
4.3637,393.745
4.3737,390.225
4.3837,390.293
4.3937,391.028
4.4037,390.573
4.4137,390.585
4.4237,390.610
4.4337,392.075
4.4437,398.004
4.4537,399.873
4.4637,399.878
4.4737,400.022
4.4837,400.095
4.4937,400.155
4.5037,400.813
4.7737,397.433
4.7837,400.298
4.7937,400.831
4.8037,401.889
4.8137,401.806
4.8237,399.940
4.8337,399.783
4.8437,399.217
4.8537,398.385
4.8637,398.233
4.8737,398.523
4.8837,398.281
4.8937,398.360
4.9037,398.526
4.9137,399.297
4.9237,399.942
4.9337,400.308
4.9437,400.211
4.9537,399.863
4.9637,399.917
4.9737,400.062
4.9837,399.234
4.9937,399.189
5.0037,399.443
5.0137,399.271
5.0237,398.987
5.0337,398.719
5.0437,398.968
5.0537,399.024
5.0637,399.797
5.0737,399.580
5.0837,399.872
5.0937,399.954
5.1037,400.023
5.1137,399.899
5.1237,399.501
5.1337,399.660
5.1437,393.870
5.2537,408.110
5.2637,402.244
5.2737,400.771
5.2837,400.214
5.2937,400.277
5.3037,400.546
5.3137,400.291
5.3237,399.779
5.3337,399.547
5.3437,399.332
5.3537,399.678
5.3637,399.692
5.3737,399.495
5.3837,399.901
5.3937,400.259
5.4037,399.779
5.4137,399.814
5.4237,399.973
5.4337,399.480
5.4437,399.719
5.4537,399.778
5.4637,397.593
5.4737,392.686
5.4837,390.986
5.4937,390.732
5.5037,389.905
5.5137,394.587
5.5237,399.364
5.5337,400.036
5.5437,401.411
5.5537,408.907
6.0737,399.836
6.0837,399.727
6.0937,399.652
6.1037,399.012
6.1137,393.746
6.1237,390.252
6.1337,391.005
6.1437,394.939
6.1537,399.360
6.1637,399.987
6.1737,400.029
6.1837,400.056
6.1937,400.012
6.2037,397.825
6.2137,391.716
6.2237,390.085
6.2337,390.410
6.2437,391.047
6.2537,390.568
6.2637,390.706
6.2737,390.443
6.2837,392.605
6.2937,398.628
6.3037,399.852
6.3137,399.928
6.3237,400.060
6.3337,400.091
6.3437,400.311
6.3537,401.200
6.7037,401.378
6.7137,399.362
6.7237,399.624
6.7337,399.828
6.7437,399.452
6.7537,400.321
6.7637,400.025
6.7737,399.652
6.7837,399.877
6.7937,399.987
6.8037,400.067
6.8137,400.400
6.8237,400.240
6.8337,399.662
6.8437,400.143
6.8537,400.179
6.8637,399.874
6.8737,399.959
6.8837,400.289
6.8937,400.422
6.9037,400.343
6.9137,400.050
6.9237,399.964
6.9337,399.935
6.9437,399.928
6.9537,399.515
6.9637,400.096
6.9737,399.791
6.9837,400.147
6.9937,399.247
7.0037,399.523
7.0137,400.058
7.0237,399.858
7.0337,399.770
7.0437,399.800
7.0537,400.192
7.0637,399.833
7.0737,400.204
7.0837,400.080
7.0937,399.561
7.1037,399.795
7.1137,399.720
7.1237,399.507
7.1337,399.918
7.1437,399.866
7.1537,400.237
7.1637,400.062
7.1737,400.056
7.1837,400.204
7.1937,399.997
7.2037,400.531
7.2137,401.061
7.2237,400.678
7.2337,400.410
7.2437,400.190
7.2537,400.038
7.2637,400.094
7.2737,398.944
7.2837,392.240
7.2937,389.171
7.3037,390.088
7.3137,392.268
7.3237,390.578
7.3337,390.375
7.3437,392.999
7.3537,398.231
7.3637,399.568
7.3737,401.048
7.3837,401.982
7.3937,402.927
7.9237,399.800
7.9337,399.702
7.9437,399.589
7.9537,397.061
7.9637,391.190
7.9737,390.240
7.9837,392.407
7.9937,397.834
8.0037,399.954
8.0137,399.980
8.0237,400.051
8.0337,400.043
8.0437,399.900
8.0537,396.379
8.0637,390.871
8.0737,390.118
8.0837,390.798
8.0937,390.853
8.1037,390.448
8.1137,390.713
8.1237,390.886
8.1337,395.751
8.1437,399.677
8.1537,399.858
8.1637,399.968
8.1737,400.080
8.1837,400.093
8.1937,400.477
8.2037,401.496
8.4737,579.689
8.4837,571.653
8.4937,571.744
8.5037,569.827
8.5137,561.820
8.5737,296.582
8.5837,295.995
8.5937,296.311
8.6037,296.568
8.6137,296.414
8.6237,296.393
8.6337,296.598
8.6437,295.870
8.6537,295.837
8.6637,295.434
8.6737,295.368
8.6837,295.614
8.6937,295.681
8.7037,296.026
8.7137,296.320
8.7237,296.044
8.7337,295.447
8.7437,295.812
8.7537,296.049
8.7637,296.017
8.7737,296.464
8.7837,296.529
8.7937,296.316
8.8037,296.515
8.8137,296.353
8.8237,296.407
8.8337,296.407
8.8437,296.857
8.8537,300.471
8.8637,301.743
8.8737,301.601
8.8837,300.720
8.8937,297.780
8.9037,296.027
8.9137,295.990
8.9237,293.972
8.9337,290.780
8.9437,290.863
8.9537,290.811
8.9637,292.980
8.9737,296.219
8.9837,295.677
8.9937,296.136
9.0037,296.248
9.0137,295.456
9.0237,296.125
9.0337,293.934
9.3737,423.648
9.3837,427.698
9.3937,425.402
9.4337,261.050
9.4437,262.352
9.4537,262.279
9.4637,262.190
9.4737,262.223
9.4837,262.246
9.4937,261.906
9.5037,261.851
9.5137,262.153
9.5237,262.137
9.5337,262.080
9.5437,262.068
9.5537,262.180
9.5637,262.241
9.5737,262.385
9.5837,262.414
9.5937,262.445
9.6037,262.561
9.6137,262.456
9.6237,262.441
9.6337,262.488
9.6437,262.480
9.6537,262.456
9.6637,262.383
9.6737,262.394
9.6837,262.311
9.6937,262.338
9.7037,262.473
9.7137,264.532
9.7237,266.524
9.7337,266.631
9.7437,266.663
9.7537,266.674
9.7637,266.321
9.7737,266.339
9.7837,266.655
9.7937,266.624
9.8037,266.443
9.8137,263.944
9.8237,262.287
9.8337,261.786
9.8437,260.222
9.8537,261.205
9.8637,261.987
9.8737,262.292
9.8837,261.999
9.8937,261.972
9.9037,262.216
9.9137,262.047
9.9237,262.375
9.9337,261.980
9.9437,262.076
9.9537,261.894
9.9637,257.768
10.2337,115.901
10.2437,114.531
10.2537,109.172
10.2637,105.887
10.4337,221.676
10.4437,221.820
10.4537,222.001
10.4637,222.819
10.4737,222.656
10.4837,222.276
10.4937,222.326
10.5037,222.599
10.5137,222.305
10.5237,222.539
10.5337,222.362
10.5437,222.344
10.5537,222.235
10.5637,222.166
10.5737,222.104
10.5837,221.997
10.5937,222.072
10.6037,222.022
10.6137,222.168
10.6237,222.208
10.6337,222.196
10.6437,222.173
10.6537,222.135
10.6637,222.131
10.6737,222.242
10.6837,222.213
10.6937,222.307
10.7037,222.284
10.7137,222.219
10.7237,222.126
10.7337,222.209
10.7437,222.408
10.7537,223.818
10.7637,224.842
10.7737,224.692
10.7837,223.018
10.7937,222.111
10.8037,220.513
10.8137,219.153
10.8237,219.714
10.8337,221.501
10.8437,222.389
10.8537,224.090
10.8637,223.206
10.8737,222.198
10.8837,220.498
10.8937,219.204
10.9037,218.999
10.9137,219.208
10.9237,219.182
10.9337,219.230
10.9437,219.376
10.9537,221.122
10.9637,222.217
10.9737,222.759
10.9837,225.559
10.9937,229.680
11.0037,234.285
