time_s,hz
0.5337,391.99542
0.5437,391.99542
0.5537,391.99542
0.5637,391.99542
0.5737,392.24
0.5837,390.267
0.5937,391.545
0.6037,391.99542
0.6137,391.99542
0.6237,391.99542
0.6337,391.99542
0.6437,391.99542
0.6537,391.99542
0.6637,391.99542
0.6737,391.734
0.6837,390.088
0.6937,390.578
0.7037,391
0.7137,390.527
0.7237,390.714
0.7337,390.486
0.7437,394.152
0.7537,391.99542
0.7637,391.99542
0.7737,391.99542
0.7837,391.99542
0.7937,391.99542
0.8037,391.99542
0.8137,391.99542
1.2937,220
1.3037,221.749
1.3137,220
1.3237,220
1.3337,220
1.3437,221.825
1.3537,220
1.3637,220
1.3737,221.841
1.3837,221.686
1.3937,220
1.4037,221.731
1.4137,220
1.4237,220
1.4337,220
1.4437,220
1.4537,220
1.4637,220
1.4737,220
1.4837,220
1.4937,220
1.5037,220
1.5137,220
1.5237,220
1.5337,220
1.5437,220
1.5537,220
1.5637,221.694
1.5737,220
1.5837,220
1.5937,220
1.6037,220
1.6137,220
1.6237,220
1.6337,220
1.6437,220
1.6537,220.408
1.6637,219.176
1.6737,219.315
1.6837,220.796
1.6937,220
1.7037,220
1.7137,220
1.7237,220
1.7337,220.626
1.7437,219.377
1.7537,220.997
2.3737,391.99542
2.3837,391.99542
2.3937,391.99542
2.4037,391.99542
2.4137,391.99542
2.4237,391.546
2.4337,390.34
2.4437,391.988
2.4537,391.99542
2.4637,391.99542
2.4737,391.99542
2.4837,391.99542
2.4937,391.99542
2.5037,391.99542
2.5137,391.99542
2.5237,390.547
2.5337,390.132
2.5437,390.712
2.5537,390.93
2.5637,390.54
2.5737,390.687
2.5837,390.613
2.5937,395.105
2.6037,391.99542
2.6137,391.99542
2.6237,391.99542
2.6337,391.99542
2.6437,391.99542
2.6537,391.99542
2.6637,391.99542
3.0237,311.12698
3.0337,311.12698
3.0437,311.12698
3.1337,391.99542
3.1437,391.99542
3.1537,391.99542
3.1637,391.99542
3.1737,391.99542
3.1837,391.99542
3.1937,391.99542
3.2037,391.99542
3.2137,391.99542
3.2237,391.99542
3.2337,391.99542
3.2437,391.99542
3.2537,391.99542
3.2637,391.99542
3.2737,391.99542
3.2837,391.99542
3.2937,391.99542
3.3037,391.99542
3.3137,391.99542
3.3237,391.99542
3.3337,391.99542
3.3437,391.99542
3.3537,391.99542
3.3637,391.99542
3.3737,391.99542
3.3837,391.99542
3.3937,391.99542
3.4037,391.99542
3.4137,391.99542
3.4237,391.99542
3.4337,391.99542
3.4437,391.99542
3.4537,391.99542
3.4637,391.99542
3.4737,391.99542
3.4837,391.99542
3.4937,391.99542
3.5037,390.941
3.5137,389.677
3.5237,391.932
3.5337,391.99542
3.5437,391.99542
3.5537,391.99542
3.5637,391.99542
3.5737,391.99542
3.5837,392.116
3.5937,390.153
3.6037,389.544
3.6137,389.93
3.6237,389.374
3.6337,389.249
3.6437,392.634
3.6537,391.99542
4.2237,391.99542
4.2337,391.99542
4.2437,391.99542
4.2537,391.99542
4.2637,394.622
4.2737,390.298
4.2837,390.629
4.2937,394.483
4.3037,391.99542
4.3137,391.99542
4.3237,391.99542
4.3337,391.99542
4.3437,391.99542
4.3537,391.99542
4.3637,393.745
4.3737,390.225
4.3837,390.293
4.3937,391.028
4.4037,390.573
4.4137,390.585
4.4237,390.61
4.4337,392.075
4.4437,391.99542
4.4537,391.99542
4.4637,391.99542
4.4737,391.99542
4.4837,391.99542
4.4937,391.99542
4.5037,391.99542
4.7737,391.99542
4.7837,391.99542
4.7937,391.99542
4.8037,391.99542
4.8137,391.99542
4.8237,391.99542
4.8337,391.99542
4.8437,391.99542
4.8537,391.99542
4.8637,391.99542
4.8737,391.99542
4.8837,391.99542
4.8937,391.99542
4.9037,391.99542
4.9137,391.99542
4.9237,391.99542
4.9337,391.99542
4.9437,391.99542
4.9537,391.99542
4.9637,391.99542
4.9737,391.99542
4.9837,391.99542
4.9937,391.99542
5.0037,391.99542
5.0137,391.99542
5.0237,391.99542
5.0337,391.99542
5.0437,391.99542
5.0537,391.99542
5.0637,391.99542
5.0737,391.99542
5.0837,391.99542
5.0937,391.99542
5.1037,391.99542
5.1137,391.99542
5.1237,391.99542
5.1337,391.99542
5.1437,393.87
5.2537,391.99542
5.2637,391.99542
5.2737,391.99542
5.2837,391.99542
5.2937,391.99542
5.3037,391.99542
5.3137,391.99542
5.3237,391.99542
5.3337,391.99542
5.3437,391.99542
5.3537,391.99542
5.3637,391.99542
5.3737,391.99542
