time_s,hz
0.4404,373.896
0.4504,373.643
0.4604,372.884
0.4704,371.990
0.4804,372.898
0.4904,372.679
0.5004,372.280
0.5104,372.565
0.5204,372.646
0.5304,372.779
0.5404,372.579
0.5504,372.358
0.5604,372.063
0.5704,371.824
0.5804,371.696
0.5904,371.727
0.6004,372.231
0.6104,372.127
0.6204,371.965
0.6304,371.946
0.6404,372.200
0.6504,372.135
0.6604,371.924
0.6704,371.943
0.6804,372.155
0.6904,372.195
0.7004,372.161
0.7104,372.078
0.7204,371.992
0.7304,372.163
0.7404,372.162
0.7504,372.180
0.7604,372.116
0.7704,372.080
0.7804,372.067
0.7904,371.999
0.8004,371.982
0.8104,371.894
0.8204,372.096
0.8304,372.119
0.8404,372.244
0.8504,372.128
0.8604,372.157
0.8704,374.487
0.8804,379.628
0.8904,380.869
0.9004,380.903
0.9104,380.959
0.9204,381.012
0.9304,380.490
0.9404,376.085
0.9504,372.323
0.9604,372.074
0.9704,372.052
0.9804,372.085
0.9904,372.095
1.0004,373.125
1.0104,378.309
1.0204,380.889
1.0304,379.396
1.0404,373.963
1.0504,372.091
1.0604,372.013
1.0704,372.018
1.0804,372.062
1.0904,371.993
1.1004,372.031
1.1104,372.069
1.1204,371.951
1.1304,371.922
1.1404,372.021
1.1504,371.896
1.2604,372.390
1.2704,372.031
1.2804,372.245
1.2904,372.154
1.3004,371.625
1.3104,366.831
1.3204,359.012
1.3304,349.574
1.3404,340.702
1.3504,328.849
1.3604,319.777
1.3704,309.867
1.3804,299.340
1.3904,291.691
1.4004,282.743
1.4104,272.364
1.4204,262.716
1.4304,255.397
1.4404,250.822
1.4504,249.972
1.4604,248.869
1.4704,246.593
1.4804,246.152
1.4904,246.082
1.5004,246.426
1.5104,248.630
1.5204,249.949
1.5304,250.626
1.5404,251.945
1.5504,250.579
1.5604,249.718
1.5704,247.711
1.5804,246.285
1.5904,246.166
1.6004,246.436
1.6104,248.279
1.6204,250.009
1.6304,250.237
1.6404,251.308
1.6504,251.440
1.6604,250.214
1.6704,249.640
1.6804,247.352
1.6904,246.246
1.7004,246.267
1.7104,246.568
1.7204,248.623
1.7304,250.127
1.7404,251.505
1.7504,251.608
1.7604,250.111
1.7704,249.858
1.7804,248.325
1.7904,246.408
1.8004,246.089
1.8104,246.169
1.8204,246.253
1.8304,246.197
1.8404,246.311
1.8504,246.281
1.8604,246.272
1.8704,246.275
1.8804,246.180
1.8904,246.143
1.9004,246.610
1.9104,248.905
1.9204,250.086
1.9304,250.128
1.9404,250.143
1.9504,250.145
