time_s,hz
0.4404,369.99442
0.4504,369.99442
0.4604,372.884
0.4704,371.99
0.4804,372.898
0.4904,372.679
0.5004,372.28
0.5104,372.565
0.5204,372.646
0.5304,372.779
0.5404,372.579
0.5504,372.358
0.5604,372.063
0.5704,371.824
0.5804,371.696
0.5904,371.727
0.6004,372.231
0.6104,372.127
0.6204,371.965
0.6304,371.946
0.6404,372.2
0.6504,372.135
0.6604,371.924
0.6704,371.943
0.6804,372.155
0.6904,372.195
0.7004,372.161
0.7104,372.078
0.7204,371.992
0.7304,372.163
0.7404,372.162
0.7504,372.18
0.7604,372.116
0.7704,372.08
0.7804,372.067
0.7904,371.999
0.8004,371.982
0.8104,371.894
0.8204,372.096
0.8304,372.119
0.8404,372.244
0.8504,372.128
0.8604,372.157
0.8704,369.99442
0.8804,369.99442
0.8904,391.99542
0.9004,391.99542
0.9104,391.99542
0.9204,391.99542
0.9304,369.99442
0.9404,369.99442
0.9504,372.323
0.9604,372.074
0.9704,372.052
0.9804,372.085
0.9904,372.095
1.0004,373.125
1.0104,369.99442
1.0204,391.99542
1.0304,369.99442
1.0404,369.99442
1.0504,372.091
1.0604,372.013
1.0704,372.018
1.0804,372.062
1.0904,371.993
1.1004,372.031
1.1104,372.069
1.1204,371.951
1.1304,371.922
1.1404,372.021
1.1504,371.896
1.2604,372.39
1.2704,372.031
1.2804,372.245
1.2904,372.154
1.3004,371.625
1.3104,366.831
1.3204,369.99442
1.3304,369.99442
1.3404,329.62756
1.3504,328.849
1.3604,329.62756
1.3704,293.66476
1.3804,293.66476
1.3904,291.691
1.4004,277.18265
1.4104,277.18265
1.4204,277.18265
1.4304,246.94165
1.4404,246.94165
1.4504,246.94165
1.4604,248.869
1.4704,246.593
1.4804,246.152
1.4904,246.082
1.5004,246.426
1.5104,248.63
1.5204,246.94165
1.5304,246.94165
1.5404,246.94165
1.5504,246.94165
1.5604,246.94165
1.5704,247.711
1.5804,246.285
1.5904,246.166
1.6004,246.436
1.6104,248.279
1.6204,246.94165
1.6304,246.94165
1.6404,246.94165
1.6504,246.94165
1.6604,246.94165
1.6704,246.94165
1.6804,247.352
1.6904,246.246
1.7004,246.267
1.7104,246.568
1.7204,248.623
1.7304,246.94165
1.7404,246.94165
1.7504,246.94165
1.7604,246.94165
1.7704,246.94165
1.7804,248.325
1.7904,246.408
1.8004,246.089
1.8104,246.169
1.8204,246.253
1.8304,246.197
1.8404,246.311
1.8504,246.281
1.8604,246.272
1.8704,246.275
1.8804,246.18
1.8904,246.143
1.9004,246.61
1.9104,248.905
1.9204,246.94165
1.9304,246.94165
1.9404,246.94165
1.9504,246.94165
1.9604,246.94165
1.9704,246.94165
1.9804,246.94165
1.9904,246.94165
2.0004,246.94165
2.0104,248.575
2.0204,246.462
2.0704,246.94165
2.0804,246.94165
2.0904,246.94165
2.1004,246.94165
2.1104,277.18265
2.1204,277.18265
2.1304,279.428
2.1404,277.18265
2.1504,293.66476
2.1604,295.829
2.1704,293.66476
2.1804,293.66476
2.1904,329.62756
2.2004,329.62756
2.2104,329.62756
2.2204,330.302
2.2304,329.62756
2.2404,329.62756
2.2504,329.62756
2.2604,369.99442
2.2704,369.99442
2.2804,369.99442
2.2904,370.666
2.3004,369.99442
2.3104,391.99542
2.3204,391.99542
2.3304,393.857
2.3404,391.99542
2.3504,391.99542
2.3604,391.99542
2.3704,391.99542
2.3804,391.99542
2.3904,391.99542
2.4004,391.99542
2.4104,391.99542
2.4204,391.99542
2.4304,391.99542
2.4404,391.99542
2.4504,391.99542
2.4604,391.99542
2.4704,391.99542
2.4804,391.99542
2.4904,391.99542
2.5004,393.856
2.5104,390.337
2.5204,391.511
2.5304,391.99542
2.5404,391.99542
2.5504,391.99542
2.5604,391.99542
2.5704,391.99542
2.5804,393.711
2.5904,390.309
2.6004,390.124
2.6104,390.12
2.6204,390.098
2.6304,390.337
2.6404,394.634
2.6504,391.99542
2.6604,391.99542
2.6704,391.99542
2.6804,391.99542
2.7604,391.99542
2.7704,391.51
2.7804,390.06
2.7904,390.017
2.8004,391.99542
2.8104,391.99542
2.8204,391.99542
2.8304,369.99442
2.8404,369.99442
2.8504,372.5
2.8604,372.122
2.8704,370.397
2.8804,369.99442
2.8904,369.99442
2.9004,369.99442
2.9104,369.99442
2.9204,369.99442
2.9304,369.99442
2.9404,369.99442
2.9504,329.62756
2.9604,329.62756
2.9704,329.62756
2.9804,329.62756
2.9904,329.62756
3.0004,329.62756
3.0104,329.62756
3.0204,329.62756
3.0304,329.62756
3.0404,329.62756
3.0504,329.62756
3.0604,329.62756
3.0704,329.62756
3.0804,329.62756
3.0904,329.62756
3.1004,329.62756
3.1104,329.62756
3.1204,329.62756
3.1304,329.62756
3.1404,329.62756
3.1504,329.62756
3.1604,329.62756
3.1704,329.62756
3.1804,329.62756
3.1904,329.62756
3.2004,329.62756
3.2104,329.62756
3.2204,329.62756
3.2304,329.62756
3.2404,329.62756
3.2504,329.62756
3.2604,329.62756
3.2704,329.62756
3.2804,329.62756
3.2904,329.62756
3.3004,329.62756
3.3104,329.62756
3.3204,329.62756
3.3304,329.62756
3.3404,329.62756
3.3504,329.62756
3.3604,329.62756
3.3704,329.62756
3.3804,329.62756
3.3904,329.62756
3.4004,329.62756
3.4104,329.62756
3.4204,329.62756
3.4304,329.62756
3.4404,329.62756
3.4504,329.62756
3.4604,329.62756
3.4704,329.62756
3.4804,329.62756
3.4904,329.62756
3.5004,329.62756
3.5104,329.62756
3.5204,330.222
3.5304,328.724
3.5404,329.62756
3.5504,329.62756
3.5604,329.62756
