time_s,hz
0.4515,242.153
0.4615,242.875
0.4715,245.097
0.4815,246.197
0.4915,247.432
0.5015,249.667
0.5115,250.038
0.5215,250.000
0.5315,249.990
0.5415,250.023
0.5515,249.981
0.5615,249.983
0.5715,249.998
0.5815,249.973
0.5915,249.920
0.6015,249.950
0.6115,250.146
0.6215,252.179
0.6315,253.817
0.6415,252.779
0.6515,250.458
0.6615,249.495
0.6715,247.210
0.6815,246.159
0.6915,246.143
0.7015,246.531
0.7115,248.691
0.7215,249.923
0.7315,250.140
0.7415,250.913
0.7515,250.285
0.7615,249.909
0.7715,248.378
0.7815,246.443
0.7915,246.088
0.8015,246.143
0.8115,247.281
0.8215,249.594
0.8315,250.136
0.8415,251.366
0.8515,251.297
0.8615,250.087
0.8715,248.697
0.8815,246.609
0.8915,246.306
0.9015,246.342
0.9115,247.340
0.9215,249.545
0.9315,250.104
0.9415,250.780
0.9515,251.856
0.9615,250.472
0.9715,249.668
0.9815,247.310
0.9915,246.187
1.0015,246.218
1.0115,246.611
1.0215,248.653
1.0315,249.979
1.0415,250.797
1.0515,252.089
1.0615,250.523
1.0715,249.911
1.0815,248.191
1.0915,246.233
1.1015,246.167
1.1115,246.256
1.1215,246.193
1.1315,246.233
1.1415,246.312
1.1515,246.258
1.1615,246.257
1.1715,246.211
1.1815,246.232
1.1915,246.130
1.2015,246.168
1.2115,246.895
1.2215,249.315
1.2315,250.056
1.2415,250.146
1.2515,250.127
1.2615,250.109
1.2715,250.058
1.2815,250.066
1.2915,250.100
1.3015,250.071
1.3115,250.256
1.3215,250.084
1.3315,249.712
1.3415,248.224
1.5715,88.923
1.5815,88.964
1.6515,331.653
1.6615,333.442
1.6715,333.531
1.6815,333.052
1.6915,333.112
1.7015,333.132
1.7115,333.330
1.7215,333.412
1.7315,333.066
1.7415,332.537
1.7515,332.838
1.7615,333.023
1.7715,333.182
1.7815,332.952
1.7915,333.246
1.8015,333.151
1.8115,333.205
1.8215,333.390
1.8315,333.114
1.8415,333.544
1.8515,333.442
1.8615,333.385
1.8715,333.455
1.8815,333.252
1.8915,333.431
1.9015,333.480
1.9115,333.499
1.9215,333.461
1.9315,333.459
1.9415,333.462
1.9515,333.440
1.9615,333.462
1.9715,333.434
1.9815,333.463
1.9915,333.372
2.0015,333.146
2.0115,333.399
2.0215,333.154
2.0315,333.315
2.0415,333.193
2.0515,333.349
2.0615,333.260
2.0715,333.498
2.0815,336.363
2.0915,339.737
2.1015,336.900
2.1115,333.585
2.1215,333.157
2.1315,330.104
2.1415,329.273
2.1515,332.979
2.1615,333.733
2.1715,336.923
2.1815,336.121
2.1915,333.398
2.2015,332.106
2.2115,327.813
2.5915,293.614
2.6015,300.312
2.6115,301.705
2.6215,300.992
2.6315,297.470
2.6415,296.156
2.6515,296.170
2.6615,296.081
2.6715,296.215
2.6815,296.155
2.6915,296.368
2.7015,296.183
2.7115,296.211
2.7215,296.130
2.7315,296.156
2.7415,296.112
2.7515,296.167
2.7615,296.207
2.7715,296.137
2.7815,296.226
2.7915,296.175
2.8015,296.201
2.8115,296.133
2.8215,296.201
2.8315,296.083
2.8415,296.273
2.8515,296.385
2.8615,296.407
2.8715,296.390
2.8815,296.422
