time_s,hz
0.4515,246.94165
0.4615,246.94165
0.4715,245.097
0.4815,246.197
0.4915,247.432
0.5015,246.94165
0.5115,246.94165
0.5215,246.94165
0.5315,246.94165
0.5415,246.94165
0.5515,246.94165
0.5615,246.94165
0.5715,246.94165
0.5815,246.94165
0.5915,246.94165
0.6015,246.94165
0.6115,246.94165
0.6215,246.94165
0.6315,246.94165
0.6415,246.94165
0.6515,246.94165
0.6615,246.94165
0.6715,247.21
0.6815,246.159
0.6915,246.143
0.7015,246.531
0.7115,248.691
0.7215,246.94165
0.7315,246.94165
0.7415,246.94165
0.7515,246.94165
0.7615,246.94165
0.7715,248.378
0.7815,246.443
0.7915,246.088
0.8015,246.143
0.8115,247.281
0.8215,246.94165
0.8315,246.94165
0.8415,246.94165
0.8515,246.94165
0.8615,246.94165
0.8715,248.697
0.8815,246.609
0.8915,246.306
0.9015,246.342
0.9115,247.34
0.9215,246.94165
0.9315,246.94165
0.9415,246.94165
0.9515,246.94165
0.9615,246.94165
0.9715,246.94165
0.9815,247.31
0.9915,246.187
1.0015,246.218
1.0115,246.611
1.0215,248.653
1.0315,246.94165
1.0415,246.94165
1.0515,246.94165
1.0615,246.94165
1.0715,246.94165
1.0815,248.191
1.0915,246.233
1.1015,246.167
1.1115,246.256
1.1215,246.193
1.1315,246.233
1.1415,246.312
1.1515,246.258
1.1615,246.257
1.1715,246.211
1.1815,246.232
1.1915,246.13
1.2015,246.168
1.2115,246.895
1.2215,246.94165
1.2315,246.94165
1.2415,246.94165
1.2515,246.94165
1.2615,246.94165
1.2715,246.94165
1.2815,246.94165
1.2915,246.94165
1.3015,246.94165
1.3115,246.94165
1.3215,246.94165
1.3315,246.94165
1.3415,248.224
1.5715,110
1.5815,110
1.6515,331.653
1.6615,329.62756
1.6715,329.62756
1.6815,329.62756
1.6915,329.62756
1.7015,329.62756
1.7115,329.62756
1.7215,329.62756
1.7315,329.62756
1.7415,329.62756
1.7515,329.62756
1.7615,329.62756
1.7715,329.62756
1.7815,329.62756
1.7915,329.62756
1.8015,329.62756
1.8115,329.62756
1.8215,329.62756
1.8315,329.62756
1.8415,329.62756
1.8515,329.62756
1.8615,329.62756
1.8715,329.62756
1.8815,329.62756
1.8915,329.62756
1.9015,329.62756
1.9115,329.62756
1.9215,329.62756
1.9315,329.62756
1.9415,329.62756
1.9515,329.62756
1.9615,329.62756
1.9715,329.62756
1.9815,329.62756
1.9915,329.62756
2.0015,329.62756
2.0115,329.62756
2.0215,329.62756
2.0315,329.62756
2.0415,329.62756
2.0515,329.62756
2.0615,329.62756
2.0715,329.62756
2.0815,329.62756
2.0915,329.62756
2.1015,329.62756
2.1115,329.62756
2.1215,329.62756
2.1315,330.104
2.1415,329.273
2.1515,329.62756
2.1615,329.62756
2.1715,329.62756
2.1815,329.62756
2.1915,329.62756
2.2015,332.106
2.2115,327.813
2.5915,293.614
2.6015,293.66476
2.6115,293.66476
2.6215,293.66476
2.6315,293.66476
2.6415,296.156
2.6515,296.17
2.6615,296.081
2.6715,296.215
2.6815,296.155
2.6915,293.66476
2.7015,296.183
2.7115,296.211
2.7215,296.13
2.7315,296.156
2.7415,296.112
2.7515,296.167
2.7615,296.207
2.7715,296.137
2.7815,293.66476
2.7915,296.175
2.8015,296.201
2.8115,296.133
2.8215,296.201
2.8315,296.083
2.8415,293.66476
2.8515,293.66476
2.8615,293.66476
2.8715,293.66476
2.8815,293.66476
2.8915,293.66476
2.9015,293.66476
2.9115,293.66476
2.9215,293.66476
2.9315,293.66476
2.9415,293.66476
2.9515,293.66476
2.9615,293.66476
2.9715,293.66476
2.9815,293.66476
2.9915,293.66476
3.0015,293.66476
3.0115,293.66476
3.0215,293.66476
3.0315,293.66476
3.0415,293.66476
3.0515,293.66476
3.0615,296.185
3.0715,293.66476
3.0815,293.66476
3.0915,293.66476
3.1015,293.66476
3.1115,293.66476
3.1215,293.66476
3.1315,293.66476
3.1415,293.66476
3.1515,293.66476
3.1615,293.66476
3.1715,294.324
3.1815,292.363
3.1915,295.47
3.2015,293.66476
3.2115,293.66476
3.2215,293.66476
3.2315,293.66476
3.2415,293.66476
3.2515,294.488
3.2615,291.356
3.2715,293.66476
3.2815,291.561
3.2915,294.704
3.3015,293.66476
3.3115,293.66476
3.3215,293.66476
3.3315,293.66476
3.3415,293.66476
3.3515,293.66476
3.3615,293.022
3.3715,293.66476
3.6615,110
3.6715,110
3.6815,110
3.7015,220
3.7115,220
3.7215,220
3.7315,220
3.7415,220
3.7515,220
3.7615,220
3.7715,220
3.7815,220
3.7915,220
3.8015,220
3.8115,220
3.8215,220
3.8315,220
3.8415,220
3.8515,220
3.8615,220
3.8715,220
3.8815,220
3.8915,220
3.9015,220
3.9115,220
3.9215,220
3.9315,220
3.9415,220
3.9515,220
3.9615,220
3.9715,220
3.9815,220
3.9915,220
4.0015,220
4.0115,220
4.0215,220
4.0315,220
4.0415,220
4.0515,220
4.0615,220
4.0715,220
4.0815,220
4.0915,220
4.1015,220
4.1115,220
4.1215,220
4.1315,220
4.1415,220
4.1515,220
4.1615,220
4.1715,220
4.1815,220
4.1915,220
4.2015,220
4.2115,220
4.2215,220
4.2315,220
4.2415,220
4.2515,220
4.2615,220
4.2715,220
4.2815,220
4.2915,220
4.3015,220
4.3115,220
4.3215,220
4.3315,221.499
4.3415,219.631
4.3515,219.182
4.3615,219.299
4.3715,220.751
4.3815,220
4.3915,220
4.4015,220
4.4115,220
4.4215,220
4.4315,220.55
4.4415,219.255
4.4515,219.187
4.4615,219.182
4.4715,219.167
4.4815,219.183
4.4915,219.211
4.5015,219.252
4.5115,220.457
4.5215,220
4.5315,220
4.5415,220
4.5515,220
4.5615,220
4.5715,220
4.9715,220.16
4.9815,221.71
4.9915,220
5.0015,220
5.0115,220
5.0215,220
5.0315,220
5.0415,220
5.0515,220
5.0615,220
5.0715,220
5.0815,220
5.0915,220
5.1015,220
5.1115,220
5.1215,220
5.1315,220
5.1415,220
5.1515,221.624
5.1615,219.776
5.1715,219.163
5.1815,219.15
5.1915,219.597
5.2015,221.453
5.2115,220
5.2215,220
5.2315,220
5.2415,220
5.2515,220
5.2615,220
5.2715,220.333
5.2815,219.218
5.2915,219.176
5.3015,219.162
5.3115,219.159
5.3215,219.15
5.3315,219.162
5.3415,219.167
5.3515,219.17
5.3615,219.914
5.3715,221.686
5.3815,220
5.3915,220
5.4015,220
5.4115,220
5.4215,220
5.4315,220
5.4415,220.755
5.7315,295.762
5.7415,293.66476
5.7515,296.074
5.7615,296.207
5.7715,296.199
5.7815,293.66476
5.7915,293.66476
5.8015,296.189
5.8115,296.162
5.8215,293.66476
