time_s,hz
0.4106,318.341
0.4206,321.504
0.4306,325.806
0.4406,331.608
0.4506,333.697
0.4606,333.100
0.4706,333.884
0.4806,333.404
0.4906,333.476
0.5006,333.335
0.5106,333.412
0.5206,335.301
0.5306,339.615
0.5406,340.342
0.5506,338.666
0.5606,334.409
0.5706,333.255
0.5806,333.038
0.5906,329.589
0.6006,327.055
0.6106,330.525
0.6206,333.238
0.6306,333.358
0.6406,334.135
0.6506,337.693
0.6606,336.738
0.6706,333.506
0.6806,333.354
0.6906,332.288
0.7006,328.052
0.7106,326.601
0.7206,326.542
0.7306,326.809
0.7406,330.410
0.7506,333.313
0.7606,333.326
0.7706,333.365
0.7806,333.313
0.7906,333.292
0.8006,333.185
0.8106,333.056
0.8206,332.675
0.8306,332.657
0.9006,177.715
0.9106,177.808
0.9206,178.080
0.9306,177.911
0.9406,177.782
0.9506,177.706
0.9606,177.731
0.9706,177.768
1.1506,367.875
1.1606,371.362
1.1706,372.073
1.1806,371.698
1.1906,371.773
1.2006,371.920
1.2106,372.047
1.2206,372.016
1.2306,371.919
1.2406,372.019
1.2506,371.958
1.2606,372.074
1.2706,372.083
1.2806,372.078
1.2906,372.116
1.3006,372.082
1.3106,372.111
1.3206,372.150
1.3306,372.116
1.3406,372.098
1.3506,372.141
1.3606,372.140
1.3706,372.145
1.3806,372.230
1.3906,372.160
1.4006,372.165
1.4106,372.220
1.4206,372.253
1.4306,372.253
1.4406,372.162
1.4506,372.168
1.4606,372.080
1.4706,372.136
1.4806,372.047
1.4906,372.104
1.5006,372.095
1.5106,372.096
1.5206,372.054
1.5306,372.140
1.5406,372.148
1.5506,372.188
1.5606,372.128
1.5706,372.070
1.5806,372.073
1.5906,372.096
1.6006,372.048
1.6106,372.094
1.6206,372.050
1.6306,372.086
1.6406,372.068
1.6506,372.039
1.6606,372.021
1.6706,371.923
1.6806,371.909
1.6906,371.643
1.7006,371.717
2.3906,331.180
2.4006,333.000
2.4106,333.547
2.4206,333.871
2.4306,332.990
2.4406,333.708
2.4506,333.660
2.4606,333.414
2.4706,333.422
2.4806,333.343
2.4906,334.689
2.5006,339.103
2.5106,340.379
2.5206,339.240
2.5306,335.030
2.5406,333.277
2.5506,333.285
2.5606,331.716
2.5706,327.528
2.5806,328.365
2.5906,332.507
2.6006,333.351
2.6106,333.795
2.6206,337.107
2.6306,337.442
2.6406,333.749
2.6506,333.342
2.6606,333.224
2.6706,330.258
2.6806,326.853
2.6906,326.558
2.7006,326.491
2.7106,328.257
2.7206,332.521
2.7306,333.353
2.7406,333.318
2.7506,333.363
2.7606,333.271
2.7706,333.235
2.7806,333.093
2.7906,332.732
2.8006,332.624
2.8106,332.393
3.1806,444.568
3.1906,443.722
3.2006,443.943
3.2106,444.845
3.2206,444.412
3.2306,444.348
3.2406,444.104
3.2506,444.444
3.2606,444.401
3.2706,444.464
3.2806,444.512
3.2906,444.452
3.3006,444.351
3.3106,444.286
3.3206,444.629
3.3306,445.950
3.3406,446.982
3.3506,445.544
3.3606,444.402
3.3706,444.176
3.3806,444.193
3.3906,444.338
3.4006,444.438
3.4106,444.524
3.4206,444.526
3.4306,444.462
3.4406,444.430
3.4506,444.451
3.4606,444.465
3.4706,444.480
3.4806,444.531
3.4906,444.481
3.5006,444.469
3.5106,444.524
3.5206,444.577
3.5306,444.654
3.5406,444.695
3.5506,444.612
3.5606,444.716
3.5706,444.727
3.5806,444.559
3.5906,444.433
3.6006,444.186
3.6106,443.795
3.6206,443.564
3.6306,443.305
3.6406,444.095
3.6506,447.405
3.6606,456.298
3.6706,456.461
3.6806,450.554
3.6906,444.439
3.7006,444.159
3.7106,443.987
4.0206,177.898
4.0306,177.939
4.0406,177.823
4.0506,177.819
4.0606,177.859
4.0706,177.794
4.0806,177.699
4.0906,177.766
4.1006,177.817
4.1306,370.269
4.1406,372.029
4.1506,371.761
4.1606,371.723
4.1706,371.896
4.1806,372.000
4.1906,372.085
4.2006,371.886
4.2106,372.029
4.2206,371.952
4.2306,372.049
4.2406,372.090
4.2506,372.073
4.2606,372.111
4.2706,372.091
4.2806,372.091
4.2906,372.152
4.3006,372.129
4.3106,372.095
4.3206,372.129
4.3306,372.148
4.3406,372.119
4.3506,372.188
4.3606,372.211
4.3706,372.169
4.3806,372.209
4.3906,372.242
4.4006,372.281
4.4106,372.135
4.4206,372.191
4.4306,372.099
4.4406,372.137
4.4506,372.049
4.4606,372.108
4.4706,372.079
4.4806,372.115
4.4906,372.045
4.5006,372.128
4.5106,372.142
4.5206,372.189
4.5306,372.147
4.5406,372.069
4.5506,372.081
4.5606,372.076
4.5706,372.073
4.5806,372.073
4.5906,372.064
4.6006,372.086
4.6106,372.053
4.6206,372.084
4.6306,371.975
4.6406,372.005
4.6506,371.855
4.6606,371.752
4.6706,371.718
4.6806,371.266
4.8506,177.681
4.8606,177.660
4.8706,177.788
5.3506,335.493
5.3606,333.529
5.3706,333.254
5.3806,333.241
5.3906,333.371
5.4006,333.358
5.4106,332.939
5.4206,333.235
5.4306,333.557
5.4406,333.459
5.4506,333.344
5.4606,333.404
5.4706,333.341
5.4806,333.404
5.4906,333.368
5.5006,333.347
5.5106,333.363
5.5206,333.299
5.5306,333.256
5.5406,333.272
5.5506,333.291
5.5606,333.236
5.5706,333.282
5.5806,333.287
5.5906,333.322
5.6006,333.328
5.6106,333.340
5.6206,333.312
5.6306,333.294
5.6406,333.314
5.6506,333.296
5.6606,333.350
5.6706,333.336
5.6806,333.303
5.6906,333.321
5.7006,333.325
5.7106,333.313
5.7206,333.302
5.7306,333.297
5.7406,333.288
5.7506,333.279
5.7606,333.335
5.7706,333.369
5.7806,333.446
5.7906,333.429
5.8006,333.448
5.8106,333.309
5.8206,333.286
5.8306,333.296
5.8406,333.341
5.8506,333.311
5.8606,333.337
5.8706,333.324
5.8806,333.332
5.8906,333.335
5.9006,333.365
5.9106,335.238
5.9206,339.445
5.9306,340.216
5.9406,337.258
5.9506,333.753
5.9606,333.474
5.9706,333.049
5.9806,329.520
5.9906,327.218
6.0006,330.889
6.0106,333.294
6.0206,333.345
6.0306,334.962
6.0406,338.151
6.0506,334.843
6.0606,333.340
6.0706,333.363
6.0806,331.874
6.0906,327.644
6.1006,326.563
6.1106,326.537
6.1206,327.088
6.1306,330.936
6.1406,333.277
6.1506,333.289
6.1606,333.345
6.1706,333.411
6.1806,333.377
6.1906,333.462
6.2006,333.484
6.2106,333.205
6.2206,332.845
6.2306,322.653
6.4506,390.540
6.4606,395.990
6.4706,399.775
6.4806,404.109
6.4906,409.753
6.5006,410.863
6.5106,415.136
6.5206,420.553
6.5306,421.863
6.5406,428.415
6.5506,432.330
6.5606,433.278
6.5706,439.766
6.5806,444.234
6.5906,444.542
6.6006,444.550
6.6106,444.458
6.6206,444.509
6.6306,444.558
6.6406,444.606
6.6506,444.802
6.6606,444.555
6.6706,444.491
6.6806,444.351
6.6906,444.295
6.7006,444.257
6.7106,445.955
6.7206,452.815
6.7306,456.830
6.7406,456.557
6.7506,450.921
6.7606,445.109
6.7706,444.464
6.7806,444.399
6.7906,444.211
6.8006,444.130
6.8106,444.425
6.8206,448.386
6.8306,453.300
6.8406,447.130
6.8506,444.536
6.8606,444.281
6.8706,444.232
6.8806,444.262
6.8906,444.255
6.9006,444.248
6.9106,444.079
6.9206,443.979
6.9306,444.129
6.9406,444.060
6.9506,443.579
6.9606,444.590
6.9706,445.041
7.4206,326.541
7.4306,333.231
7.4406,333.004
7.4506,332.716
7.4606,332.943
7.4706,333.117
7.4806,333.239
7.4906,333.334
7.5006,333.360
7.5106,333.354
7.5206,333.341
7.5306,333.335
7.5406,333.297
7.5506,333.288
7.5606,333.226
7.5706,333.151
7.5806,333.180
7.5906,333.145
7.6006,333.239
7.6106,333.352
7.6206,333.334
7.6306,333.312
7.6406,333.314
7.6506,333.346
7.6606,333.388
7.6706,333.341
7.6806,333.335
7.6906,333.360
7.7006,333.402
7.7106,333.343
7.7206,333.355
7.7306,333.380
7.7406,333.393
7.7506,333.326
7.7606,333.322
7.7706,333.334
7.7806,333.317
7.7906,333.359
7.8006,333.324
7.8106,333.326
7.8206,333.355
7.8306,333.325
7.8406,333.321
7.8506,334.659
7.8606,339.040
7.8706,339.972
7.8806,336.153
7.8906,333.511
7.9006,333.098
7.9106,329.737
7.9206,328.165
7.9306,332.252
7.9406,333.374
7.9506,334.046
7.9606,337.105
7.9706,334.917
7.9806,333.344
7.9906,333.047
8.0006,329.525
8.0106,326.676
8.0206,326.543
8.0306,328.254
8.0406,332.526
8.0506,333.365
8.0606,333.321
8.0706,333.367
8.0806,333.341
8.0906,333.173
8.1006,333.250
8.1106,332.933
8.1206,323.359
8.5406,371.207
8.5506,372.155
8.5606,372.084
8.5706,372.205
8.5806,371.816
8.5906,371.771
8.6006,372.134
8.6106,371.967
8.6206,371.923
8.6306,372.184
8.6406,371.899
8.6506,372.021
8.6606,372.169
8.6706,372.091
8.6806,372.125
8.6906,372.143
8.7006,372.129
8.7106,372.169
8.7206,372.098
8.7306,372.082
8.7406,372.044
8.7506,372.090
8.7606,372.136
8.7706,372.111
8.7806,372.029
8.7906,372.020
8.8006,372.006
8.8106,372.086
8.8206,372.115
8.8306,372.081
8.8406,372.126
8.8506,372.102
8.8606,372.118
8.8706,372.085
8.8806,372.123
8.8906,372.087
8.9006,372.117
8.9106,372.109
8.9206,372.087
8.9306,372.106
8.9406,372.079
8.9506,372.105
8.9606,372.044
8.9706,372.109
8.9806,372.126
8.9906,372.006
9.0006,372.162
9.0106,372.002
9.0206,372.089
9.0306,372.088
9.0406,373.166
9.0506,378.784
9.0606,380.771
9.0706,381.017
9.0806,380.867
9.0906,380.923
9.1006,380.990
9.1106,380.763
9.1206,377.662
9.1306,372.692
9.1406,372.110
9.1506,372.137
9.1606,372.143
9.1706,372.173
9.1806,372.166
9.1906,374.169
9.2006,379.121
9.2106,381.003
9.2206,379.753
9.2306,374.712
9.2406,372.160
9.2506,371.913
9.2606,372.166
9.2706,371.916
9.6406,418.620
9.6506,421.829
9.6606,421.733
9.6706,421.611
9.6806,425.609
9.6906,431.696
9.7006,432.409
9.7106,432.433
9.7206,433.389
9.7306,439.803
9.7406,444.333
9.7506,444.470
9.7606,444.529
9.7706,444.562
9.7806,444.456
9.7906,444.506
9.8006,444.550
9.8106,444.597
9.8206,444.799
9.8306,444.577
9.8406,444.494
9.8506,444.363
9.8606,444.297
9.8706,444.255
9.8806,445.608
9.8906,452.222
9.9006,456.746
9.9106,456.699
9.9206,451.582
9.9306,445.324
9.9406,444.455
9.9506,444.438
9.9606,444.260
9.9706,444.165
9.9806,444.282
9.9906,447.825
10.0006,454.295
10.0106,449.246
10.0206,444.779
10.0306,444.340
10.0406,444.230
10.0506,444.253
10.0606,444.265
10.0706,444.249
10.0806,444.099
10.0906,443.936
10.1006,444.108
10.1106,444.099
10.1206,443.579
10.1306,444.496
10.2106,446.608
10.2206,438.864
10.2306,432.208
10.2406,426.828
10.2506,420.349
10.2606,414.921
10.2706,408.155
10.2806,401.997
10.2906,397.070
10.3006,389.672
10.3106,383.103
10.3206,377.861
10.3306,371.190
10.3406,364.771
10.3506,358.416
10.3606,352.112
10.3706,345.223
10.3806,338.530
10.3906,334.119
10.4006,333.295
10.4106,333.010
10.4206,333.239
10.4306,333.275
10.4406,333.253
10.4506,333.310
10.4606,333.392
10.4706,333.233
10.4806,333.233
10.4906,333.256
10.5006,333.349
10.5106,333.306
10.5206,333.353
10.5306,333.168
10.5406,333.069
10.5506,333.281
10.5606,333.323
10.5706,333.369
10.5806,333.456
10.5906,333.148
10.6006,333.292
10.6106,333.258
10.6206,333.425
10.6306,333.392
10.6406,333.263
10.6506,333.326
10.6606,333.331
10.6706,333.380
10.6806,333.375
10.6906,333.347
10.7006,333.272
10.7106,333.299
10.7206,333.282
10.7306,333.394
10.7406,333.330
10.7506,333.359
10.7606,333.408
10.7706,333.372
10.7806,333.370
10.7906,333.289
10.8006,333.304
10.8106,333.350
10.8206,333.335
10.8306,333.303
10.8406,333.303
10.8506,333.313
10.8606,333.304
10.8706,333.207
10.8806,332.978
10.8906,332.869
10.9006,333.533
10.9106,333.428
10.9206,333.012
10.9306,332.852
10.9406,332.881
10.9506,333.100
10.9606,333.345
10.9706,333.160
10.9806,333.158
10.9906,333.236
11.0006,333.510
11.0106,333.327
11.0206,333.317
11.0306,333.351
11.0406,333.310
11.0506,333.355
11.0606,333.503
11.0706,333.571
11.0806,333.340
11.0906,333.520
11.1006,333.295
11.1106,333.283
11.1206,333.309
11.1306,333.320
11.1406,334.320
11.1506,338.870
11.1606,339.523
11.1706,335.196
11.1806,333.345
11.1906,332.626
11.2006,328.552
11.2106,326.572
11.2206,326.992
11.2306,330.679
11.2406,333.259
11.2506,333.303
11.2606,333.446
11.2706,333.226
11.2806,332.275
11.7306,373.330
11.7406,371.985
11.7506,372.133
11.7606,372.217
