time_s,hz
0.4106,329.62756
0.4206,329.62756
0.4306,329.62756
0.4406,331.608
0.4506,329.62756
0.4606,329.62756
0.4706,329.62756
0.4806,329.62756
0.4906,329.62756
0.5006,329.62756
0.5106,329.62756
0.5206,329.62756
0.5306,329.62756
0.5406,329.62756
0.5506,329.62756
0.5606,329.62756
0.5706,329.62756
0.5806,329.62756
0.5906,329.589
0.6006,327.055
0.6106,330.525
0.6206,329.62756
0.6306,329.62756
0.6406,329.62756
0.6506,329.62756
0.6606,329.62756
0.6706,329.62756
0.6806,329.62756
0.6906,332.288
0.7006,328.052
0.7106,329.62756
0.7206,329.62756
0.7306,326.809
0.7406,330.41
0.7506,329.62756
0.7606,329.62756
0.7706,329.62756
0.7806,329.62756
0.7906,329.62756
0.8006,329.62756
0.8106,329.62756
0.8206,329.62756
0.8306,329.62756
0.9006,184.99721
0.9106,184.99721
0.9206,184.99721
0.9306,184.99721
0.9406,184.99721
0.9506,184.99721
0.9606,184.99721
0.9706,184.99721
1.1506,367.875
1.1606,371.362
1.1706,372.073
1.1806,371.698
1.1906,371.773
1.2006,371.92
1.2106,372.047
1.2206,372.016
1.2306,371.919
1.2406,372.019
1.2506,371.958
1.2606,372.074
1.2706,372.083
1.2806,372.078
1.2906,372.116
1.3006,372.082
1.3106,372.111
1.3206,372.15
1.3306,372.116
1.3406,372.098
1.3506,372.141
1.3606,372.14
1.3706,372.145
1.3806,372.23
1.3906,372.16
1.4006,372.165
1.4106,372.22
1.4206,372.253
1.4306,372.253
1.4406,372.162
1.4506,372.168
1.4606,372.08
1.4706,372.136
1.4806,372.047
1.4906,372.104
1.5006,372.095
1.5106,372.096
1.5206,372.054
1.5306,372.14
1.5406,372.148
1.5506,372.188
1.5606,372.128
1.5706,372.07
1.5806,372.073
1.5906,372.096
1.6006,372.048
1.6106,372.094
1.6206,372.05
1.6306,372.086
1.6406,372.068
1.6506,372.039
1.6606,372.021
1.6706,371.923
1.6806,371.909
1.6906,371.643
1.7006,371.717
2.3906,331.18
2.4006,329.62756
2.4106,329.62756
2.4206,329.62756
2.4306,329.62756
2.4406,329.62756
2.4506,329.62756
2.4606,329.62756
2.4706,329.62756
2.4806,329.62756
2.4906,329.62756
2.5006,329.62756
2.5106,329.62756
2.5206,329.62756
2.5306,329.62756
2.5406,329.62756
2.5506,329.62756
2.5606,331.716
2.5706,327.528
2.5806,328.365
2.5906,329.62756
2.6006,329.62756
2.6106,329.62756
2.6206,329.62756
2.6306,329.62756
2.6406,329.62756
2.6506,329.62756
2.6606,329.62756
2.6706,330.258
2.6806,326.853
2.6906,329.62756
2.7006,329.62756
2.7106,328.257
2.7206,329.62756
2.7306,329.62756
2.7406,329.62756
2.7506,329.62756
2.7606,329.62756
2.7706,329.62756
2.7806,329.62756
2.7906,329.62756
2.8006,329.62756
2.8106,332.393
3.1806,440
3.1906,443.722
3.2006,440
3.2106,440
3.2206,440
3.2306,440
3.2406,440
3.2506,440
3.2606,440
3.2706,440
3.2806,440
3.2906,440
3.3006,440
3.3106,440
3.3206,440
3.3306,440
3.3406,440
3.3506,440
3.3606,440
3.3706,440
3.3806,440
3.3906,440
3.4006,440
3.4106,440
3.4206,440
3.4306,440
3.4406,440
3.4506,440
3.4606,440
3.4706,440
3.4806,440
3.4906,440
3.5006,440
3.5106,440
3.5206,440
3.5306,440
3.5406,440
3.5506,440
3.5606,440
3.5706,440
3.5806,440
3.5906,440
3.6006,440
3.6106,443.795
3.6206,443.564
3.6306,443.305
3.6406,440
3.6506,440
3.6606,440
3.6706,440
3.6806,440
3.6906,440
3.7006,440
3.7106,440
4.0206,184.99721
4.0306,184.99721
4.0406,184.99721
4.0506,184.99721
4.0606,184.99721
4.0706,184.99721
4.0806,184.99721
4.0906,184.99721
4.1006,184.99721
4.1306,370.269
4.1406,372.029
4.1506,371.761
4.1606,371.723
4.1706,371.896
4.1806,372
4.1906,372.085
4.2006,371.886
4.2106,372.029
4.2206,371.952
4.2306,372.049
4.2406,372.09
4.2506,372.073
4.2606,372.111
4.2706,372.091
4.2806,372.091
4.2906,372.152
4.3006,372.129
4.3106,372.095
4.3206,372.129
4.3306,372.148
4.3406,372.119
4.3506,372.188
4.3606,372.211
4.3706,372.169
4.3806,372.209
4.3906,372.242
4.4006,372.281
4.4106,372.135
4.4206,372.191
4.4306,372.099
4.4406,372.137
4.4506,372.049
4.4606,372.108
4.4706,372.079
4.4806,372.115
4.4906,372.045
4.5006,372.128
4.5106,372.142
