time_s,hz
0.5636,329.590
0.5736,332.600
0.5836,333.346
0.5936,333.302
0.6036,333.263
0.6136,333.272
0.6236,333.263
0.6336,333.258
0.6436,333.257
0.6536,333.243
0.6636,333.213
0.6736,333.213
0.6836,333.178
0.6936,333.161
0.7036,333.320
0.7136,333.271
0.7236,333.278
0.7336,333.355
0.7436,333.373
0.7536,333.344
0.7636,333.351
0.7736,333.330
0.7836,333.215
0.7936,333.363
0.8036,333.378
0.8136,333.378
0.8236,333.405
0.8336,333.481
0.8436,333.474
0.8536,333.418
0.8636,333.356
0.8736,333.282
0.8836,333.309
0.8936,333.283
0.9036,333.290
0.9136,333.272
0.9236,333.249
0.9336,333.264
0.9436,333.264
0.9536,333.256
0.9636,333.270
0.9736,333.289
0.9836,333.308
0.9936,333.387
1.0036,333.360
1.0136,333.380
1.0236,333.386
1.0336,333.358
1.0436,333.363
1.0536,333.317
1.0636,333.330
1.0736,333.331
1.0836,333.349
1.0936,333.355
1.1036,333.290
1.1136,333.316
1.1236,333.302
1.1336,333.289
1.1436,333.294
1.1536,333.251
1.1636,333.348
1.1736,333.353
1.1836,333.370
1.1936,333.406
1.2036,333.339
1.2136,333.431
1.2236,333.492
1.2336,333.521
1.2436,333.529
1.2536,333.628
1.2636,333.569
1.9536,219.396
1.9636,222.290
1.9736,222.339
1.9836,221.796
1.9936,222.270
2.0036,222.198
2.0136,222.051
2.0236,222.239
2.0336,222.280
2.0436,222.164
2.0536,222.222
2.0636,222.215
2.0736,222.218
2.0836,222.223
2.0936,222.188
2.1036,222.218
2.1136,222.238
2.1236,222.211
2.1336,222.229
2.1436,222.180
2.1536,222.170
2.1636,222.330
2.1736,222.333
2.1836,222.282
2.1936,222.281
2.2036,222.270
2.2136,222.241
2.2236,222.222
2.2336,222.236
2.2436,222.236
2.2536,222.222
2.2636,222.236
2.2736,222.245
2.2836,222.222
2.2936,222.252
2.3036,222.244
2.3136,222.222
2.3236,222.240
2.3336,222.244
2.3436,222.251
2.3536,222.268
2.3636,222.327
2.3736,222.270
2.3836,222.269
2.3936,222.229
2.4036,222.262
2.4136,222.226
2.4236,222.227
2.4336,222.836
2.4436,224.700
2.4536,225.363
2.4636,225.304
2.4736,224.112
2.4836,222.435
2.4936,221.559
2.5036,219.736
2.5136,219.083
2.5236,219.207
2.5336,220.509
2.5436,221.982
2.5536,222.440
2.5636,224.183
2.5736,223.992
2.5836,222.409
2.5936,221.498
2.6036,219.579
2.6136,219.153
2.6236,219.171
2.6336,219.178
2.6436,219.152
2.6536,219.146
2.6636,219.155
2.6736,219.225
2.6836,220.505
2.6936,222.032
2.7036,222.149
2.7136,222.204
2.7236,222.185
2.7336,222.117
2.7436,221.889
2.7536,220.790
2.8236,225.915
2.8336,222.446
2.8436,222.170
2.8536,222.092
2.8636,221.936
2.8736,222.131
2.8836,222.561
2.8936,222.049
2.9036,222.076
2.9136,222.281
2.9236,222.111
2.9336,222.179
2.9436,222.224
2.9536,222.247
2.9636,222.249
2.9736,222.191
2.9836,222.163
2.9936,222.269
3.0036,222.296
3.0136,222.224
3.0236,222.195
3.0336,222.242
3.0436,222.213
3.0536,222.181
3.0636,222.207
3.0736,222.224
3.0836,222.221
3.0936,222.220
3.1036,222.222
3.1136,222.219
3.1236,222.221
3.1336,222.205
3.1436,222.207
3.1536,222.224
3.1636,222.232
3.1736,222.223
3.1836,222.222
3.1936,222.214
3.2036,222.226
3.2136,222.208
3.2236,222.214
3.2336,222.342
3.2436,222.467
3.2536,222.037
3.2636,222.078
3.2736,222.331
3.2836,222.321
3.2936,222.245
3.3036,222.185
3.3136,222.135
3.3236,222.196
3.3336,222.255
3.3436,222.231
3.3536,222.244
3.3636,222.208
3.3736,222.223
3.3836,222.240
3.3936,222.252
3.4036,222.243
3.4136,222.212
3.4236,222.225
3.4336,222.219
3.4436,222.235
3.4536,222.229
3.4636,222.229
3.4736,222.232
3.4836,222.234
3.4936,222.234
3.5036,222.238
3.5136,222.229
3.5236,222.211
3.5336,222.207
3.5436,222.213
3.5536,222.206
3.5636,222.207
3.5736,222.225
3.5836,222.225
3.5936,222.121
3.6036,222.072
3.6136,222.099
3.6236,222.146
3.6336,222.096
3.6436,222.164
3.6536,222.206
3.6636,222.175
3.6736,222.112
3.6836,222.094
3.6936,222.092
3.7036,222.115
3.7136,222.206
3.7236,222.175
3.7336,222.077
3.7436,222.168
3.7536,222.326
3.7636,222.226
3.7736,221.805
3.7836,222.450
3.7936,226.058
3.9336,88.896
3.9436,88.885
3.9536,88.880
3.9636,88.889
3.9736,88.909
3.9836,88.881
4.0536,88.910
4.0636,88.879
4.0736,88.930
4.0836,88.964
4.6036,224.732
4.6136,222.494
4.6236,222.450
4.6336,221.794
4.6436,222.193
4.6536,222.261
4.6636,222.028
4.6736,222.222
4.6836,222.291
4.6936,222.170
4.7036,222.214
4.7136,222.218
4.7236,222.218
4.7336,222.214
4.7436,222.189
4.7536,222.222
4.7636,222.240
4.7736,222.214
4.7836,222.222
4.7936,222.199
4.8036,222.149
4.8136,222.318
4.8236,222.338
4.8336,222.288
4.8436,222.280
4.8536,222.274
4.8636,222.245
4.8736,222.223
4.8836,222.233
4.8936,222.239
4.9036,222.223
4.9136,222.232
4.9236,222.248
4.9336,222.224
4.9436,222.247
4.9536,222.250
4.9636,222.222
4.9736,222.236
4.9836,222.245
4.9936,222.261
5.0036,222.266
5.0136,222.312
5.0236,222.275
5.0336,222.272
5.0436,222.231
5.0536,222.258
5.0636,222.235
5.0736,222.238
5.0836,222.616
5.0936,224.449
5.1036,225.347
5.1136,225.339
5.1236,224.407
5.1336,222.580
5.1436,221.775
5.1536,219.989
5.1636,219.102
5.1736,219.149
5.1836,220.218
5.1936,221.870
5.2036,222.314
5.2136,223.912
5.2236,224.244
5.2336,222.548
5.2436,221.723
5.2536,219.806
5.2636,219.153
5.2736,219.168
5.2836,219.180
5.2936,219.155
5.3036,219.146
5.3136,219.154
5.3236,219.188
5.3336,220.193
5.3436,221.930
5.3536,222.146
5.3636,222.190
5.3736,222.209
5.3836,222.103
5.3936,221.988
5.4036,221.023
5.4436,210.501
5.4536,220.322
5.4636,221.929
5.4736,221.984
5.4836,222.174
5.4936,222.258
5.5036,223.031
5.5136,224.915
5.5236,225.321
5.5336,225.333
5.5436,225.602
5.5536,227.374
5.5636,228.518
5.5736,228.537
5.5836,228.686
5.5936,229.905
