time_s,hz
0.5636,329.59
0.5736,329.62756
0.5836,329.62756
0.5936,329.62756
0.6036,329.62756
0.6136,329.62756
0.6236,329.62756
0.6336,329.62756
0.6436,329.62756
0.6536,329.62756
0.6636,329.62756
0.6736,329.62756
0.6836,329.62756
0.6936,329.62756
0.7036,329.62756
0.7136,329.62756
0.7236,329.62756
0.7336,329.62756
0.7436,329.62756
0.7536,329.62756
0.7636,329.62756
0.7736,329.62756
0.7836,329.62756
0.7936,329.62756
0.8036,329.62756
0.8136,329.62756
0.8236,329.62756
0.8336,329.62756
0.8436,329.62756
0.8536,329.62756
0.8636,329.62756
0.8736,329.62756
0.8836,329.62756
0.8936,329.62756
0.9036,329.62756
0.9136,329.62756
0.9236,329.62756
0.9336,329.62756
0.9436,329.62756
0.9536,329.62756
0.9636,329.62756
0.9736,329.62756
0.9836,329.62756
0.9936,329.62756
1.0036,329.62756
1.0136,329.62756
1.0236,329.62756
1.0336,329.62756
1.0436,329.62756
1.0536,329.62756
1.0636,329.62756
1.0736,329.62756
1.0836,329.62756
1.0936,329.62756
1.1036,329.62756
1.1136,329.62756
1.1236,329.62756
1.1336,329.62756
1.1436,329.62756
1.1536,329.62756
1.1636,329.62756
1.1736,329.62756
1.1836,329.62756
1.1936,329.62756
1.2036,329.62756
1.2136,329.62756
1.2236,329.62756
1.2336,329.62756
1.2436,329.62756
1.2536,329.62756
1.2636,329.62756
1.9536,219.396
1.9636,220
1.9736,220
1.9836,221.796
1.9936,220
2.0036,220
2.0136,220
2.0236,220
2.0336,220
2.0436,220
2.0536,220
2.0636,220
2.0736,220
2.0836,220
2.0936,220
2.1036,220
2.1136,220
2.1236,220
2.1336,220
2.1436,220
2.1536,220
2.1636,220
2.1736,220
2.1836,220
2.1936,220
2.2036,220
2.2136,220
2.2236,220
2.2336,220
2.2436,220
2.2536,220
2.2636,220
2.2736,220
2.2836,220
2.2936,220
2.3036,220
2.3136,220
2.3236,220
2.3336,220
2.3436,220
2.3536,220
2.3636,220
2.3736,220
2.3836,220
2.3936,220
2.4036,220
2.4136,220
2.4236,220
2.4336,220
2.4436,220
2.4536,220
2.4636,220
2.4736,220
2.4836,220
2.4936,221.559
2.5036,219.736
2.5136,219.083
2.5236,219.207
2.5336,220.509
2.5436,220
2.5536,220
2.5636,220
2.5736,220
2.5836,220
2.5936,221.498
2.6036,219.579
2.6136,219.153
2.6236,219.171
2.6336,219.178
2.6436,219.152
2.6536,219.146
2.6636,219.155
2.6736,219.225
2.6836,220.505
2.6936,220
2.7036,220
2.7136,220
2.7236,220
2.7336,220
2.7436,221.889
2.7536,220.79
2.8236,220
2.8336,220
2.8436,220
2.8536,220
2.8636,220
2.8736,220
2.8836,220
2.8936,220
2.9036,220
2.9136,220
2.9236,220
2.9336,220
2.9436,220
2.9536,220
2.9636,220
2.9736,220
2.9836,220
2.9936,220
3.0036,220
3.0136,220
3.0236,220
3.0336,220
3.0436,220
3.0536,220
3.0636,220
3.0736,220
3.0836,220
3.0936,220
3.1036,220
3.1136,220
3.1236,220
3.1336,220
3.1436,220
3.1536,220
3.1636,220
3.1736,220
3.1836,220
3.1936,220
3.2036,220
3.2136,220
3.2236,220
3.2336,220
3.2436,220
3.2536,220
3.2636,220
3.2736,220
3.2836,220
3.2936,220
3.3036,220
3.3136,220
3.3236,220
3.3336,220
3.3436,220
3.3536,220
3.3636,220
3.3736,220
3.3836,220
3.3936,220
3.4036,220
3.4136,220
3.4236,220
3.4336,220
3.4436,220
3.4536,220
3.4636,220
3.4736,220
3.4836,220
3.4936,220
3.5036,220
3.5136,220
3.5236,220
3.5336,220
3.5436,220
3.5536,220
3.5636,220
3.5736,220
3.5836,220
3.5936,220
3.6036,220
3.6136,220
3.6236,220
3.6336,220
3.6436,220
3.6536,220
3.6636,220
3.6736,220
3.6836,220
3.6936,220
3.7036,220
3.7136,220
3.7236,220
3.7336,220
3.7436,220
3.7536,220
3.7636,220
3.7736,221.805
3.7836,220
3.7936,220
3.9336,110
3.9436,110
3.9536,110
3.9636,110
3.9736,110
3.9836,110
4.0536,110
4.0636,110
4.0736,110
4.0836,110
4.6036,220
4.6136,220
4.6236,220
4.6336,221.794
4.6436,220
4.6536,220
4.6636,220
4.6736,220
4.6836,220
4.6936,220
4.7036,220
4.7136,220
4.7236,220
4.7336,220
4.7436,220
4.7536,220
4.7636,220
4.7736,220
4.7836,220
4.7936,220
4.8036,220
4.8136,220
4.8236,220
4.8336,220
4.8436,220
4.8536,220
4.8636,220
4.8736,220
4.8836,220
4.8936,220
4.9036,220
4.9136,220
4.9236,220
4.9336,220
4.9436,220
4.9536,220
4.9636,220
4.9736,220
4.9836,220
4.9936,220
5.0036,220
5.0136,220
5.0236,220
5.0336,220
5.0436,220
5.0536,220
5.0636,220
5.0736,220
5.0836,220
5.0936,220
5.1036,220
5.1136,220
5.1236,220
5.1336,220
5.1436,221.775
5.1536,219.989
5.1636,219.102
5.1736,219.149
5.1836,220.218
5.1936,221.87
5.2036,220
5.2136,220
5.2236,220
5.2336,220
5.2436,221.723
5.2536,219.806
5.2636,219.153
5.2736,219.168
5.2836,219.18
5.2936,219.155
5.3036,219.146
5.3136,219.154
5.3236,219.188
5.3336,220.193
5.3436,220
5.3536,220
5.3636,220
5.3736,220
5.3836,220
5.3936,220
5.4036,221.023
5.4436,220
5.4536,220.322
5.4636,220
5.4736,220
5.4836,220
5.4936,220
5.5036,220
5.5136,220
5.5236,220
5.5336,220
5.5436,220
5.5536,220
5.5636,220
5.5736,220
5.5836,220
5.5936,220
5.6036,220
5.6136,220
5.6236,220
5.6336,220
5.6436,246.94165
5.6536,246.94165
5.6636,246.94165
5.6736,246.94165
5.6836,246.94165
5.6936,246.94165
5.7036,246.94165
5.7136,246.94165
